"x1","x2","x3","x4","x5","x6","x7","x8","x9","class"
3,3,0,0,0,3,211,1,7,5
3,2,0,0,0,3,10,0,0,5
3,3,1,0,0,3,23,0,0,5
3,3,0,0,0,3,216,1,7,5
3,2,1,0,0,3,15,0,0,5
3,3,1,1,1,2,16,0,0,5
3,3,1,0,0,3,60,1,16,5
3,1,0,0,0,3,28,0,0,5
3,3,0,0,0,3,24,0,0,5
3,3,0,0,0,3,8,0,0,5
2,2,0,0,0,2,23,0,0,5
2,2,0,0,0,2,11,0,0,5
2,1,1,0,0,2,20,0,0,5
2,1,0,0,0,2,4,0,0,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,15,0,0,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,15,0,0,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,27,0,0,5
2,2,0,0,0,2,11,0,0,5
2,2,0,0,0,2,11,0,0,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,317,1,7,5
2,2,0,0,0,2,317,1,7,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,6,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,615,1,7,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,8,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,7,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
1,1,0,0,0,1,20,0,0,5
