"X","Y","Z","class"
2.91,1.8,3.1,2
3.1,2.16,3.29,2
3.04,1.89,2.67,2
2.78,1.71,2.86,2
2.88,1.97,2.87,2
3.03,1.85,3.04,2
2.75,2.15,3.08,2
2.74,1.88,2.96,2
3.11,1.86,2.92,2
2.83,1.93,2.97,2
2.92,2.03,3.22,2
2.86,1.74,3,2
2.92,2.17,3.02,2
2.91,1.83,3.29,2
2.84,1.65,2.95,2
2.84,2.25,2.94,2
2.77,2.16,3.28,2
3.23,1.87,2.81,2
3,2.3,3.11,2
2.8,2.04,3,2
3.1,1.99,3.31,2
3.28,1.87,3.16,2
2.86,1.63,3.01,2
2.73,1.99,2.73,2
3.01,2.04,3.23,2
2.71,1.83,3.09,2
2.7,1.78,3.1,2
2.87,2.13,3.08,2
3.19,2.12,3.02,2
3.05,2,2.8,2
2.9,2.17,3.32,2
3.13,2.25,3.05,2
3.31,2.04,2.78,2
2.83,1.71,2.86,2
2.82,2.26,3.05,2
2.98,1.87,2.76,2
2.96,2.21,2.8,2
2.94,2.23,2.75,2
2.88,2.3,3.2,2
2.77,1.96,2.85,2
2.77,1.77,2.83,2
3.09,1.76,3.08,2
2.76,2.01,3.21,2
2.76,2.14,3.27,2
2.82,1.8,2.77,2
3.05,2.25,2.72,2
2.81,2.06,2.75,2
3.08,1.93,3.13,2
2.92,1.88,2.93,2
3.12,1.71,3.08,2
2.93,1.97,3.37,2
2.88,2.12,3.01,2
2.87,2.17,3.19,2
3.19,1.68,2.86,2
3.35,1.89,3.01,2
2.95,2.16,3.14,2
2.75,1.84,3.13,2
3.03,2.24,2.98,2
2.74,2.04,3.17,2
3.18,2.27,3.21,2
2.99,1.88,3.24,2
3.1,1.89,3,2
3.33,1.9,3.03,2
3.02,1.93,2.87,2
3.13,1.73,2.98,2
2.65,2.11,3.12,2
2.91,1.99,3.09,2
2.84,1.73,3.04,2
3.2,1.82,3.11,2
2.68,1.98,3.13,2
2.85,1.94,3.04,2
3.15,2.18,3.16,2
3.13,1.71,3.09,2
3.01,1.91,3.18,2
2.99,1.79,3.29,2
3.14,2.29,3.12,2
2.81,1.9,3.27,2
3.18,2.86,0.84,3
2.94,2.94,1.19,3
2.89,3.3,1.24,3
2.79,3.14,0.94,3
3.25,2.99,1.25,3
2.78,3.16,0.96,3
3.17,3.14,0.89,3
2.94,3.11,1.16,3
2.83,3.04,1.12,3
3.38,3.01,1.3,3
3.13,2.7,1.07,3
3.19,2.85,1.45,3
2.73,2.81,1.52,3
2.84,2.94,1.74,3
3.31,2.88,1.49,3
2.73,2.99,1.44,3
3.07,2.82,1.15,3
2.79,2.89,1.58,3
3.32,3.17,1.53,3
2.85,2.76,1.67,3
2.87,3,1.66,3
2.82,2.95,1.98,3
3.23,2.74,1.49,3
3.03,2.87,1.69,3
2.75,2.77,1.67,3
2.84,3.29,1.96,3
3.12,2.78,1.6,3
2.97,2.69,1.85,3
2.65,2.95,1.78,3
3.2,3.15,1.92,3
3.02,3.28,1.72,3
2.89,3.1,1.96,3
3.19,2.73,1.8,3
2.93,2.8,1.95,3
2.71,3.2,1.93,3
3.14,3.01,2.39,3
3.04,3.07,1.78,3
2.88,2.85,2.15,3
3,3.21,2.29,3
3.29,3.1,2.1,3
2.96,2.89,2.17,3
3.12,3.09,2.09,3
2.75,3.04,2.42,3
3.08,2.99,2.66,3
2.8,3.24,2.14,3
2.96,3.31,2.3,3
3.03,2.94,2.27,3
2.74,2.9,2.21,3
2.73,3,2.52,3
2.81,3.17,2.45,3
3.11,3.2,2.7,3
3.28,3,2.63,3
3.08,3.14,2.32,3
3.09,3.23,2.57,3
3.31,2.9,2.38,3
3.13,3.09,2.59,3
2.75,3.19,2.68,3
3.17,3.01,3.04,3
2.9,3.29,2.54,3
3.23,3.25,2.91,3
3.11,2.94,2.73,3
2.97,3.12,2.86,3
2.97,2.79,2.59,3
2.66,3.15,2.78,3
3.06,2.87,2.97,3
3,2.62,2.93,3
2.96,2.8,3.1,3
3.14,2.78,3.18,3
3.38,2.97,3.12,3
2.85,3.09,3.22,3
3.04,3.04,3.23,3
2.91,3.07,3,3
2.97,2.81,3.33,3
2.99,2.96,3.17,3
3.14,3.25,3.21,3
2.79,3.14,3.22,3
3.02,3.34,3.48,3
2.97,2.88,3.5,3
3.19,2.85,3.31,3
2.96,3.36,3.29,3
3.13,3.13,3.48,3
3.05,2.76,3.14,3
3,2.96,3.38,3
2.75,3,3.26,3
3.04,2.88,3.37,3
3.25,3.14,3.54,3
2.93,2.98,3.31,3
3.12,2.65,3.75,3
3.22,3.25,3.65,3
3.1,3.34,3.54,3
2.8,3.21,3.82,3
3.05,3.29,3.61,3
3.12,2.95,3.81,3
3.28,2.91,3.61,3
2.87,3.17,3.83,3
2.94,2.83,3.92,3
3.14,2.74,3.74,3
2.81,2.71,3.76,3
3.18,2.65,3.93,3
3.13,2.67,4.03,3
1.92,3.05,2.38,4
2.3,3.26,1.98,4
1.84,3.18,2.09,4
1.75,2.99,2.1,4
2.24,3.19,1.98,4
1.8,2.79,1.95,4
2.16,2.67,2.02,4
2.36,3.07,2,4
1.97,3.02,1.74,4
1.74,3.05,1.89,4
1.87,3.01,1.84,4
2.03,3.11,2.03,4
2.05,2.85,2.03,4
1.84,2.98,1.96,4
2.03,2.96,2.09,4
2.2,3.16,1.79,4
1.9,2.93,1.88,4
2.1,3.25,1.75,4
2.02,3.3,2.02,4
1.87,3.09,2.33,4
2.08,3.1,1.74,4
1.92,2.68,2.18,4
2.15,2.68,2.1,4
2,3.07,2.13,4
1.77,2.85,2.09,4
2.12,3.2,2.23,4
1.77,2.86,1.95,4
1.87,2.68,1.81,4
1.95,3.07,1.83,4
2.19,2.95,1.77,4
1.62,2.88,1.98,4
1.98,3.26,1.71,4
1.99,2.78,1.79,4
1.93,2.97,2.37,4
2.04,2.73,2.1,4
1.91,3.03,2.08,4
1.96,2.69,1.88,4
2.1,3.16,2.25,4
1.94,2.94,1.87,4
1.97,2.76,1.87,4
2.04,3.17,2.27,4
2.1,3.17,1.77,4
1.87,2.71,2.19,4
2.28,3.2,1.82,4
2.32,2.93,1.78,4
2.27,3.17,1.84,4
1.85,2.76,2.16,4
1.7,3,1.93,4
1.65,3.17,1.93,4
2.2,3.23,2.12,4
1.9,2.72,1.77,4
2.19,2.96,1.88,4
1.85,2.95,2.27,4
2.05,2.8,2.24,4
1.65,3.04,2.13,4
1.89,3.02,1.65,4
2.06,3.13,2.09,4
1.75,2.77,1.99,4
2.03,2.9,2.15,4
1.85,3.19,1.74,4
1.85,3.1,2.2,4
2.03,2.91,1.96,4
1.8,2.68,1.88,4
2.04,2.91,2.22,4
1.86,3,2.22,4
2.05,3.1,2.08,4
1.82,2.91,1.77,4
1.84,3.16,1.86,4
1.95,3.03,1.63,4
1.74,3.15,2.04,4
1.85,3.08,2.04,4
2.12,3.05,2.16,4
2.07,2.73,2.1,4
1.71,3.06,1.96,4
1.92,2.77,1.96,4
2.08,3.27,2.1,4
1.67,2.86,1.99,4
2.2,2.89,2.31,4
1.81,2.68,1.97,4
2.15,2.8,1.93,4
1.95,2.67,1.94,4
1.95,3.17,2.06,4
1.92,2.82,2.12,4
2.06,2.96,2.37,4
1.78,2.95,1.73,4
1.81,2.98,2.26,4
2.14,3.09,1.76,4
1.86,2.92,1.69,4
2.18,2.69,2,4
2.22,2.9,2.26,4
1.96,3.13,1.71,4
2.05,3.05,2.39,4
1.7,3.15,2.2,4
2.35,2.87,2.07,4
2.34,2.99,2.16,4
2.11,2.93,1.9,4
1.92,2.74,2.19,4
1.76,2.96,1.85,4
1.69,3.11,1.9,4
1.77,2.75,2.18,4
