"x1","x2","x3","x4","x5","x6","x7","class"
0.49,0.36,0.13,0.54,0.26,0.1,0.16,9
0.47,0.36,0.12,0.48,0.21,0.11,0.15,9
0.41,0.31,0.1,0.39,0.17,0.09,0.11,6
0.5,0.4,0.14,0.66,0.26,0.18,0.22,7
0.45,0.35,0.12,0.44,0.19,0.1,0.14,7
0.47,0.39,0.14,0.59,0.28,0.12,0.17,7
0.25,0.19,0.06,0.09,0.04,0.01,0.03,3
0.51,0.4,0.13,0.58,0.25,0.13,0.18,6
0.45,0.35,0.11,0.41,0.18,0.11,0.14,6
0.51,0.41,0.11,0.63,0.31,0.16,0.18,8
0.53,0.41,0.13,0.7,0.3,0.19,0.2,9
0.43,0.33,0.1,0.38,0.17,0.08,0.1,6
0.52,0.4,0.12,0.58,0.23,0.13,0.19,7
0.48,0.36,0.12,0.48,0.23,0.1,0.14,7
0.57,0.44,0.16,0.92,0.35,0.19,0.32,11
0.6,0.5,0.19,1.29,0.42,0.22,0.49,12
0.48,0.39,0.12,0.53,0.21,0.12,0.17,9
0.31,0.24,0.07,0.15,0.06,0.04,0.05,5
0.56,0.43,0.13,0.77,0.26,0.17,0.28,12
0.4,0.32,0.11,0.35,0.14,0.1,0.1,7
0.6,0.48,0.17,1.25,0.48,0.23,0.43,19
0.57,0.48,0.18,1.19,0.47,0.26,0.38,10
0.61,0.45,0.2,1.1,0.48,0.29,0.32,12
0.6,0.48,0.15,1.01,0.44,0.22,0.28,14
0.6,0.48,0.14,0.94,0.36,0.19,0.32,8
0.6,0.47,0.15,0.92,0.36,0.19,0.31,9
0.56,0.43,0.14,0.79,0.28,0.16,0.29,10
0.62,0.48,0.17,1.1,0.47,0.24,0.35,13
0.58,0.45,0.14,0.94,0.38,0.25,0.29,8
0.62,0.51,0.18,1.62,0.51,0.19,0.68,11
0.52,0.43,0.17,0.99,0.4,0.23,0.32,15
0.6,0.48,0.16,1.32,0.41,0.23,0.58,20
0.58,0.45,0.14,1.01,0.38,0.22,0.36,13
0.57,0.47,0.18,1.3,0.34,0.22,0.44,11
0.63,0.47,0.14,1.2,0.48,0.21,0.4,12
0.56,0.44,0.16,0.86,0.33,0.21,0.26,9
0.46,0.36,0.13,0.52,0.22,0.11,0.17,8
0.58,0.45,0.16,0.98,0.31,0.23,0.33,11
0.57,0.43,0.14,0.81,0.34,0.17,0.26,14
0.56,0.44,0.15,0.76,0.31,0.15,0.26,11
0.6,0.47,0.18,1.12,0.4,0.25,0.39,12
0.63,0.5,0.17,1.26,0.51,0.32,0.39,9
0.7,0.56,0.19,1.49,0.59,0.34,0.49,14
0.67,0.54,0.2,1.61,0.58,0.39,0.48,13
0.54,0.44,0.15,0.73,0.27,0.14,0.25,8
0.47,0.38,0.13,0.52,0.21,0.13,0.15,7
0.47,0.37,0.13,0.52,0.2,0.13,0.17,6
0.48,0.38,0.13,0.58,0.28,0.09,0.16,9
0.36,0.27,0.1,0.23,0.11,0.05,0.08,6
0.55,0.44,0.15,0.84,0.33,0.19,0.26,14
0.53,0.44,0.16,0.88,0.32,0.16,0.34,14
0.53,0.42,0.14,0.72,0.31,0.17,0.21,9
0.61,0.47,0.16,1.17,0.5,0.24,0.35,11
0.52,0.41,0.16,0.73,0.29,0.18,0.24,11
0.55,0.43,0.17,0.8,0.29,0.18,0.28,10
0.5,0.4,0.13,0.67,0.26,0.13,0.22,9
0.51,0.39,0.14,0.63,0.23,0.18,0.2,8
0.44,0.4,0.11,0.36,0.14,0.1,0.13,8
0.5,0.4,0.13,0.54,0.24,0.13,0.16,8
0.47,0.36,0.11,0.43,0.17,0.11,0.18,8
0.44,0.32,0.08,0.33,0.15,0.06,0.11,8
0.43,0.35,0.11,0.39,0.13,0.06,0.17,8
0.55,0.41,0.13,0.69,0.3,0.15,0.21,10
0.53,0.42,0.12,0.59,0.23,0.16,0.18,10
0.49,0.38,0.14,0.61,0.26,0.1,0.22,10
0.44,0.34,0.11,0.4,0.13,0.1,0.17,9
0.56,0.43,0.15,0.88,0.35,0.17,0.31,8
0.41,0.31,0.09,0.26,0.11,0.06,0.09,7
0.47,0.37,0.11,0.42,0.16,0.1,0.14,8
0.39,0.3,0.09,0.25,0.1,0.06,0.09,6
0.52,0.43,0.14,0.77,0.3,0.17,0.26,13
0.37,0.27,0.08,0.21,0.09,0.05,0.07,5
0.36,0.28,0.08,0.18,0.08,0.05,0.07,5
0.27,0.2,0.06,0.07,0.03,0.02,0.03,4
0.38,0.28,0.09,0.24,0.11,0.05,0.07,5
0.39,0.29,0.09,0.25,0.11,0.06,0.08,7
0.7,0.54,0.16,1.73,0.63,0.26,0.54,18
0.71,0.54,0.17,1.96,0.77,0.26,0.78,17
0.6,0.48,0.17,1.26,0.48,0.28,0.41,16
0.44,0.35,0.13,0.4,0.18,0.06,0.13,8
0.33,0.26,0.09,0.19,0.09,0.04,0.06,6
0.35,0.26,0.1,0.21,0.09,0.06,0.07,6
0.27,0.2,0.07,0.1,0.04,0.02,0.03,6
0.43,0.33,0.12,0.41,0.16,0.08,0.14,7
0.31,0.23,0.08,0.16,0.07,0.03,0.05,6
0.35,0.26,0.09,0.2,0.09,0.03,0.06,8
0.41,0.33,0.11,0.36,0.15,0.06,0.12,8
0.38,0.29,0.1,0.25,0.1,0.06,0.09,8
0.57,0.45,0.16,0.83,0.34,0.21,0.25,9
0.55,0.45,0.15,0.74,0.3,0.14,0.27,9
0.65,0.52,0.19,1.34,0.52,0.31,0.45,15
0.56,0.46,0.16,0.8,0.34,0.19,0.24,10
0.48,0.38,0.13,0.52,0.21,0.12,0.17,9
0.49,0.38,0.13,0.55,0.25,0.11,0.17,9
0.46,0.35,0.12,0.52,0.22,0.11,0.16,9
0.28,0.21,0.08,0.13,0.05,0.04,0.04,8
0.18,0.13,0.06,0.03,0.01,0.01,0.01,4
0.17,0.13,0.1,0.03,0.01,0.01,0.01,3
0.59,0.48,0.15,1.05,0.44,0.26,0.33,14
0.61,0.5,0.19,1.12,0.47,0.26,0.34,8
0.64,0.52,0.19,1.37,0.51,0.31,0.45,9
0.61,0.49,0.16,1.06,0.37,0.24,0.36,9
0.57,0.45,0.14,0.99,0.39,0.15,0.31,11
0.52,0.41,0.13,0.72,0.32,0.13,0.21,9
0.58,0.46,0.19,0.99,0.39,0.24,0.34,12
0.65,0.49,0.22,1.51,0.55,0.26,0.64,15
0.58,0.46,0.17,0.91,0.37,0.21,0.29,12
0.58,0.46,0.17,1.12,0.3,0.18,0.44,12
0.61,0.47,0.17,1.06,0.42,0.25,0.34,12
0.61,0.49,0.16,1.22,0.53,0.26,0.28,12
0.61,0.49,0.18,1.24,0.54,0.3,0.35,11
0.73,0.56,0.21,2.14,0.65,0.4,1.01,17
0.65,0.55,0.23,1.75,0.56,0.29,0.82,15
0.73,0.57,0.19,2.55,1.07,0.48,0.73,13
0.73,0.58,0.18,2.12,0.77,0.45,0.85,19
0.68,0.57,0.21,1.84,0.63,0.41,0.65,19
0.71,0.56,0.22,1.98,0.82,0.31,0.76,13
0.68,0.52,0.18,1.62,0.51,0.41,0.62,11
0.7,0.55,0.22,1.96,0.71,0.54,0.59,13
0.53,0.4,0.15,0.78,0.31,0.17,0.26,6
0.53,0.44,0.16,1.07,0.49,0.23,0.29,7
0.52,0.41,0.12,0.78,0.32,0.18,0.22,7
0.24,0.16,0.04,0.05,0.02,0.02,0.02,4
0.36,0.26,0.09,0.18,0.06,0.04,0.08,6
0.32,0.21,0.06,0.13,0.06,0.04,0.04,4
0.32,0.25,0.09,0.14,0.05,0.05,0.05,7
0.23,0.16,0.05,0.05,0.03,0.02,0.02,3
0.58,0.48,0.15,0.97,0.39,0.22,0.35,10
0.57,0.48,0.18,0.94,0.4,0.2,0.3,13
0.64,0.51,0.18,1.37,0.52,0.27,0.57,20
0.56,0.45,0.16,1.02,0.43,0.27,0.3,9
0.62,0.48,0.18,1.02,0.44,0.21,0.33,9
0.65,0.51,0.2,1.57,0.62,0.37,0.46,11
0.62,0.49,0.19,1.22,0.55,0.3,0.36,12
0.63,0.48,0.15,1.05,0.39,0.34,0.29,11
0.63,0.5,0.19,1.38,0.54,0.33,0.38,9
0.63,0.48,0.16,1.2,0.53,0.34,0.32,10
0.59,0.46,0.17,0.93,0.37,0.27,0.29,8
0.62,0.48,0.18,1.16,0.48,0.22,0.33,12
0.61,0.49,0.17,1.02,0.42,0.24,0.36,11
0.58,0.45,0.15,0.93,0.28,0.18,0.36,13
0.36,0.28,0.09,0.22,0.09,0.06,0.15,7
0.51,0.4,0.14,0.81,0.46,0.2,0.2,9
0.5,0.41,0.16,0.77,0.35,0.15,0.25,11
0.51,0.41,0.15,0.64,0.29,0.15,0.21,10
0.64,0.5,0.19,1.3,0.44,0.26,0.47,15
0.56,0.45,0.16,0.92,0.43,0.18,0.26,14
0.59,0.46,0.19,0.92,0.36,0.21,0.29,9
0.45,0.35,0.12,0.42,0.17,0.1,0.14,8
0.5,0.4,0.17,0.83,0.25,0.21,0.29,12
0.5,0.4,0.15,0.63,0.23,0.15,0.23,11
0.53,0.44,0.17,0.82,0.3,0.16,0.28,12
0.42,0.34,0.12,0.37,0.17,0.07,0.12,7
0.44,0.34,0.14,0.48,0.19,0.11,0.16,8
0.4,0.3,0.11,0.32,0.11,0.07,0.12,8
0.44,0.34,0.11,0.38,0.15,0.09,0.12,7
0.53,0.42,0.17,0.83,0.28,0.17,0.31,12
0.37,0.28,0.1,0.27,0.12,0.05,0.08,6
0.49,0.37,0.15,0.63,0.2,0.16,0.22,9
0.34,0.25,0.09,0.18,0.08,0.04,0.06,6
0.42,0.33,0.11,0.38,0.16,0.08,0.12,11
0.5,0.41,0.14,0.62,0.24,0.14,0.21,8
0.49,0.4,0.16,0.66,0.25,0.13,0.24,13
0.55,0.41,0.14,0.8,0.24,0.16,0.26,9
0.45,0.35,0.13,0.46,0.17,0.11,0.14,7
0.41,0.3,0.12,0.32,0.13,0.07,0.11,6
0.47,0.36,0.14,0.5,0.17,0.12,0.17,9
0.42,0.31,0.13,0.32,0.13,0.08,0.11,7
0.45,0.33,0.13,0.46,0.18,0.11,0.14,8
0.47,0.35,0.15,0.52,0.19,0.12,0.18,10
0.49,0.38,0.15,0.58,0.22,0.14,0.19,8
0.45,0.36,0.15,0.49,0.18,0.13,0.16,10
0.43,0.38,0.11,0.33,0.13,0.08,0.1,9
0.5,0.37,0.14,0.45,0.17,0.11,0.16,8
0.39,0.29,0.13,0.31,0.12,0.08,0.09,6
0.37,0.27,0.09,0.21,0.08,0.05,0.07,6
0.58,0.47,0.17,1.1,0.4,0.21,0.35,10
0.53,0.42,0.16,0.78,0.29,0.16,0.25,14
0.56,0.45,0.14,0.84,0.34,0.16,0.28,12
0.57,0.44,0.18,0.9,0.31,0.19,0.33,13
0.63,0.51,0.22,1.45,0.5,0.29,0.44,21
0.28,0.22,0.08,0.12,0.05,0.03,0.04,6
0.44,0.35,0.14,0.44,0.18,0.08,0.13,11
0.3,0.23,0.08,0.12,0.05,0.03,0.04,8
0.08,0.06,0.01,0,0,0,0,0
0.13,0.1,0.03,0.01,0,0,0,2
0.11,0.09,0.03,0.01,0,0,0,2
0.16,0.12,0.04,0.02,0.01,0,0.01,4
0.57,0.43,0.16,0.94,0.35,0.22,0.28,16
0.27,0.2,0.07,0.1,0.03,0.02,0.04,4
0.23,0.18,0.07,0.06,0.03,0.01,0.02,4
0.3,0.23,0.08,0.13,0.04,0.03,0.04,7
0.33,0.26,0.09,0.17,0.06,0.04,0.06,7
0.35,0.26,0.09,0.17,0.07,0.03,0.06,9
0.32,0.25,0.08,0.16,0.06,0.03,0.05,12
0.36,0.28,0.09,0.2,0.07,0.04,0.07,8
0.31,0.25,0.08,0.16,0.07,0.04,0.05,6
0.35,0.27,0.11,0.21,0.08,0.05,0.07,6
0.33,0.25,0.11,0.17,0.07,0.04,0.06,6
0.59,0.47,0.18,1.12,0.42,0.28,0.36,12
0.6,0.46,0.16,1.06,0.51,0.22,0.3,11
0.58,0.46,0.19,1.09,0.45,0.22,0.35,14
0.6,0.5,0.17,1.24,0.49,0.28,0.34,14
0.56,0.45,0.18,1.01,0.38,0.21,0.37,14
0.56,0.45,0.19,1.07,0.38,0.18,0.41,18
0.55,0.46,0.16,0.9,0.34,0.17,0.35,9
0.64,0.51,0.17,1.42,0.61,0.3,0.37,14
0.59,0.48,0.16,1.1,0.48,0.26,0.3,12
0.54,0.48,0.16,0.93,0.39,0.19,0.26,10
0.57,0.44,0.13,0.87,0.37,0.17,0.27,11
0.53,0.42,0.17,0.89,0.32,0.24,0.25,10
0.25,0.2,0.06,0.1,0.04,0.02,0.03,3
0.27,0.2,0.08,0.12,0.05,0.03,0.04,5
0.46,0.38,0.13,0.64,0.3,0.15,0.16,10
0.52,0.45,0.15,0.9,0.36,0.19,0.24,13
0.35,0.28,0.11,0.29,0.12,0.06,0.09,7
0.47,0.39,0.15,0.64,0.22,0.09,0.26,8
0.45,0.36,0.13,0.5,0.2,0.1,0.17,12
0.64,0.53,0.22,1.78,0.45,0.29,0.55,21
0.59,0.5,0.2,1.19,0.41,0.27,0.37,15
0.62,0.49,0.21,1.22,0.39,0.25,0.39,13
0.63,0.51,0.23,1.53,0.56,0.33,0.45,14
0.63,0.52,0.16,1.26,0.41,0.2,0.41,12
0.66,0.54,0.22,1.84,0.74,0.33,0.59,21
0.66,0.53,0.19,1.35,0.49,0.25,0.49,11
0.61,0.5,0.24,1.64,0.53,0.33,0.69,17
0.64,0.53,0.21,1.48,0.55,0.31,0.43,19
0.52,0.43,0.14,0.71,0.27,0.16,0.25,10
0.54,0.42,0.19,0.84,0.31,0.16,0.3,14
0.36,0.29,0.11,0.24,0.09,0.06,0.08,6
0.46,0.36,0.12,0.45,0.18,0.1,0.15,8
0.49,0.4,0.14,0.63,0.23,0.13,0.23,13
0.52,0.38,0.18,0.96,0.33,0.16,0.31,13
0.54,0.42,0.17,0.88,0.3,0.2,0.29,9
0.53,0.44,0.16,0.7,0.29,0.16,0.21,9
0.5,0.4,0.16,0.64,0.24,0.13,0.21,16
0.44,0.36,0.13,0.48,0.13,0.08,0.19,8
0.54,0.44,0.16,0.81,0.32,0.18,0.24,9
0.54,0.44,0.18,1,0.38,0.23,0.33,16
0.57,0.51,0.21,1.28,0.5,0.28,0.36,11
0.61,0.48,0.17,1.12,0.43,0.22,0.32,14
0.57,0.46,0.18,1.01,0.34,0.21,0.35,18
0.6,0.5,0.2,1.06,0.38,0.19,0.38,25
0.3,0.22,0.09,0.13,0.05,0.03,0.04,5
0.28,0.21,0.08,0.11,0.05,0.03,0.04,5
0.28,0.21,0.09,0.11,0.04,0.03,0.03,3
0.49,0.4,0.14,0.55,0.22,0.13,0.15,10
0.37,0.28,0.11,0.23,0.09,0.06,0.08,8
0.41,0.31,0.1,0.35,0.15,0.09,0.1,8
0.54,0.44,0.18,0.89,0.32,0.17,0.34,12
0.37,0.28,0.1,0.25,0.11,0.06,0.07,7
0.36,0.27,0.1,0.22,0.09,0.05,0.07,5
0.47,0.36,0.13,0.47,0.18,0.11,0.15,9
0.2,0.15,0.06,0.04,0.01,0.01,0.01,3
0.17,0.12,0.03,0.02,0.01,0.01,0.01,2
0.65,0.52,0.24,1.54,0.47,0.37,0.54,12
0.55,0.41,0.13,0.76,0.25,0.16,0.2,13
0.57,0.44,0.15,0.91,0.39,0.24,0.28,9
0.63,0.49,0.19,1.24,0.46,0.31,0.39,20
0.56,0.44,0.14,0.97,0.44,0.2,0.27,13
0.6,0.46,0.2,1.33,0.46,0.32,0.35,18
0.62,0.47,0.2,1.23,0.38,0.27,0.44,22
0.63,0.49,0.18,1.3,0.43,0.29,0.46,22
0.45,0.36,0.11,0.46,0.19,0.07,0.14,7
0.64,0.54,0.19,1.24,0.58,0.25,0.39,13
0.45,0.35,0.1,0.37,0.15,0.1,0.12,9
0.58,0.46,0.16,0.84,0.32,0.14,0.32,17
0.33,0.26,0.1,0.17,0.07,0.03,0.06,5
0.27,0.21,0.06,0.1,0.04,0.02,0.03,4
0.19,0.15,0.04,0.04,0.02,0.01,0.02,3
0.39,0.31,0.1,0.28,0.11,0.08,0.1,10
0.27,0.21,0.07,0.11,0.04,0.04,0.04,4
0.34,0.27,0.11,0.22,0.09,0.06,0.08,6
0.36,0.28,0.09,0.25,0.1,0.05,0.08,6
0.32,0.26,0.1,0.18,0.07,0.04,0.07,6
0.51,0.4,0.13,0.64,0.27,0.17,0.21,11
0.36,0.3,0.11,0.24,0.09,0.05,0.1,7
0.36,0.28,0.09,0.23,0.09,0.04,0.09,7
0.5,0.38,0.16,0.6,0.21,0.16,0.2,11
0.4,0.33,0.12,0.32,0.13,0.06,0.1,7
0.3,0.22,0.08,0.12,0.05,0.04,0.04,4
0.24,0.18,0.04,0.07,0.03,0.02,0.02,4
0.74,0.6,0.2,1.97,0.6,0.41,0.71,15
0.62,0.47,0.19,1.34,0.57,0.32,0.36,10
0.6,0.48,0.19,1.09,0.4,0.27,0.33,13
0.59,0.45,0.19,1.28,0.47,0.28,0.43,15
0.62,0.48,0.19,1.33,0.6,0.33,0.33,12
0.57,0.45,0.2,1,0.41,0.25,0.29,14
0.58,0.46,0.15,1.17,0.58,0.23,0.3,13
0.62,0.51,0.21,1.35,0.48,0.26,0.48,13
0.62,0.47,0.19,1.27,0.58,0.31,0.32,11
0.51,0.38,0.18,0.57,0.23,0.15,0.17,11
0.46,0.43,0.16,0.75,0.3,0.15,0.24,7
0.49,0.39,0.14,0.71,0.28,0.22,0.18,12
0.53,0.42,0.16,0.76,0.27,0.17,0.28,8
0.34,0.26,0.08,0.2,0.08,0.06,0.06,5
0.38,0.31,0.12,0.27,0.09,0.07,0.09,7
0.61,0.48,0.15,1.2,0.56,0.25,0.28,13
0.61,0.5,0.19,1.15,0.54,0.29,0.25,7
0.59,0.45,0.17,0.87,0.33,0.16,0.27,21
0.57,0.46,0.14,0.95,0.45,0.21,0.25,11
0.58,0.46,0.17,0.93,0.41,0.26,0.22,8
0.64,0.52,0.17,1.28,0.51,0.29,0.34,15
0.7,0.58,0.21,2.13,0.74,0.49,0.58,19
0.68,0.53,0.19,1.59,0.69,0.34,0.4,12
0.65,0.53,0.19,1.81,0.7,0.39,0.4,17
0.75,0.59,0.22,2.5,0.93,0.47,0.7,16
0.69,0.55,0.18,1.77,0.75,0.39,0.49,15
0.61,0.49,0.18,1.23,0.48,0.29,0.35,17
0.59,0.47,0.15,1,0.39,0.25,0.34,11
0.65,0.53,0.18,1.42,0.61,0.3,0.45,19
0.6,0.48,0.15,1.03,0.41,0.27,0.3,15
0.62,0.5,0.18,1.19,0.5,0.3,0.35,11
0.63,0.52,0.16,1.02,0.42,0.24,0.36,18
0.58,0.47,0.15,0.89,0.44,0.17,0.27,10
0.58,0.46,0.12,1.07,0.48,0.27,0.27,9
0.63,0.49,0.18,1.13,0.46,0.28,0.32,11
0.69,0.56,0.22,1.72,0.68,0.3,0.47,16
0.65,0.55,0.17,1.57,0.66,0.35,0.42,15
0.66,0.57,0.2,1.76,0.69,0.33,0.5,15
0.68,0.58,0.2,1.79,0.59,0.45,0.6,18
0.7,0.58,0.17,1.31,0.51,0.31,0.42,13
0.69,0.52,0.15,1.34,0.46,0.29,0.4,12
0.68,0.55,0.2,1.73,0.68,0.37,0.61,19
0.63,0.49,0.19,1.18,0.49,0.34,0.29,10
0.59,0.45,0.16,1.08,0.5,0.29,0.25,9
0.57,0.47,0.18,1,0.39,0.18,0.37,14
0.61,0.5,0.19,1.11,0.37,0.31,0.33,11
0.61,0.47,0.18,1.14,0.38,0.28,0.39,14
0.54,0.42,0.15,0.79,0.33,0.19,0.25,9
0.49,0.4,0.14,0.66,0.31,0.14,0.2,9
0.47,0.38,0.12,0.56,0.23,0.12,0.2,11
0.55,0.43,0.14,0.84,0.37,0.21,0.24,9
0.46,0.37,0.11,0.49,0.22,0.12,0.14,8
0.54,0.42,0.16,0.74,0.35,0.15,0.22,11
0.46,0.38,0.14,0.48,0.21,0.12,0.15,9
0.49,0.42,0.13,0.61,0.24,0.14,0.22,13
0.47,0.38,0.12,0.47,0.22,0.12,0.14,8
0.42,0.33,0.1,0.32,0.15,0.06,0.11,9
0.48,0.38,0.13,0.59,0.28,0.12,0.18,9
0.47,0.38,0.13,0.56,0.25,0.14,0.18,9
0.37,0.3,0.1,0.25,0.11,0.05,0.08,8
0.35,0.28,0.1,0.2,0.08,0.05,0.07,5
0.39,0.31,0.1,0.3,0.12,0.06,0.12,10
0.5,0.4,0.14,0.72,0.32,0.18,0.24,9
0.47,0.38,0.15,0.59,0.24,0.14,0.19,7
0.54,0.44,0.15,0.68,0.26,0.14,0.26,11
0.59,0.46,0.15,0.99,0.44,0.21,0.31,10
0.49,0.37,0.12,0.59,0.27,0.13,0.18,8
0.52,0.46,0.14,0.72,0.3,0.16,0.24,8
0.44,0.33,0.11,0.43,0.18,0.1,0.16,6
0.52,0.42,0.14,0.69,0.31,0.15,0.2,9
0.44,0.35,0.12,0.37,0.17,0.08,0.11,6
0.53,0.44,0.15,0.84,0.37,0.2,0.24,11
0.45,0.36,0.12,0.48,0.21,0.1,0.15,7
0.59,0.49,0.12,0.91,0.39,0.18,0.29,15
0.56,0.45,0.15,0.92,0.4,0.25,0.29,10
0.57,0.44,0.1,0.83,0.34,0.22,0.24,7
0.59,0.5,0.17,1.1,0.46,0.24,0.34,14
0.59,0.48,0.12,0.95,0.41,0.21,0.28,13
0.58,0.46,0.12,0.99,0.46,0.24,0.28,10
0.55,0.44,0.12,0.86,0.35,0.17,0.24,11
0.61,0.5,0.17,1.24,0.53,0.25,0.39,13
0.62,0.47,0.14,1.03,0.36,0.22,0.36,14
0.63,0.5,0.17,1.31,0.56,0.27,0.4,19
0.63,0.52,0.17,1.35,0.49,0.35,0.45,19
0.63,0.5,0.16,1.01,0.37,0.2,0.36,15
0.55,0.41,0.14,0.63,0.22,0.16,0.24,12
0.67,0.54,0.17,1.5,0.52,0.36,0.51,13
0.49,0.38,0.12,0.53,0.22,0.14,0.16,10
0.49,0.39,0.14,0.58,0.25,0.12,0.2,12
0.29,0.23,0.07,0.1,0.04,0.02,0.04,7
0.26,0.2,0.07,0.09,0.04,0.02,0.03,5
0.58,0.45,0.18,1.07,0.43,0.2,0.32,12
0.61,0.49,0.17,1.09,0.39,0.24,0.33,17
0.6,0.5,0.16,1.02,0.4,0.17,0.33,18
0.56,0.46,0.13,0.94,0.34,0.13,0.38,20
0.58,0.45,0.17,1.05,0.38,0.17,0.39,17
0.57,0.45,0.18,0.96,0.38,0.17,0.3,17
0.6,0.47,0.16,1.04,0.44,0.2,0.33,19
0.57,0.46,0.17,0.91,0.34,0.16,0.32,17
0.55,0.42,0.14,0.75,0.25,0.13,0.26,21
0.44,0.35,0.1,0.37,0.12,0.09,0.12,12
0.5,0.41,0.15,0.66,0.28,0.14,0.22,10
0.36,0.28,0.1,0.22,0.08,0.04,0.09,6
0.39,0.31,0.1,0.25,0.09,0.06,0.09,13
0.39,0.3,0.09,0.31,0.14,0.06,0.09,8
0.5,0.42,0.17,0.69,0.25,0.14,0.25,12
0.36,0.28,0.11,0.23,0.1,0.05,0.09,9
0.34,0.26,0.1,0.19,0.08,0.06,0.07,7
0.51,0.43,0.14,0.85,0.28,0.16,0.29,18
0.4,0.3,0.1,0.27,0.13,0.03,0.09,9
0.41,0.33,0.11,0.36,0.16,0.08,0.12,9
0.56,0.46,0.19,0.71,0.28,0.13,0.28,8
0.57,0.44,0.19,0.98,0.33,0.14,0.39,12
0.57,0.46,0.19,0.93,0.35,0.16,0.38,15
0.61,0.5,0.18,1.1,0.48,0.23,0.38,11
0.57,0.46,0.15,0.82,0.37,0.16,0.26,17
0.73,0.57,0.22,1.89,0.7,0.47,0.58,15
0.68,0.54,0.16,1.41,0.59,0.32,0.42,15
0.67,0.56,0.2,1.44,0.58,0.35,0.36,16
0.57,0.49,0.16,0.92,0.41,0.22,0.26,10
0.65,0.55,0.18,1.29,0.57,0.3,0.33,13
0.58,0.47,0.14,0.84,0.35,0.17,0.24,10
0.64,0.54,0.18,1.22,0.51,0.26,0.39,14
0.36,0.28,0.11,0.2,0.07,0.05,0.08,8
0.42,0.31,0.11,0.3,0.12,0.06,0.1,9
0.53,0.41,0.14,0.71,0.29,0.15,0.24,10
0.38,0.29,0.1,0.27,0.12,0.06,0.08,10
0.59,0.47,0.17,0.99,0.39,0.22,0.27,11
0.24,0.19,0.07,0.07,0.03,0.02,0.03,5
0.22,0.17,0.06,0.05,0.02,0.01,0.02,4
0.26,0.2,0.07,0.07,0.03,0.02,0.03,5
0.18,0.13,0.05,0.02,0.01,0,0.01,4
