d1,d2,d3,d4,d5,d6,d7,d8,d9,d19,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,class
2,2,36350,2387,200,4000,400,225,8.3,7.9,208,1680,4660,1830,1422,2700,475,405,1500,80,70,370,0
2,2,40050,2387,200,4000,400,225,8.3,7.9,208,1680,4660,1830,1422,2700,475,405,1500,80,70,370,0
2,2,34250,2387,209,4000,400,231,8.1,6.8,179,1660,4660,1830,1422,2700,475,405,1500,80,70,370,0
2,2,37950,2387,209,4000,400,231,8.1,6.8,179,1660,4660,1830,1422,2700,475,405,1500,80,70,370,0
2,2,36550,2387,209,4000,400,227,8.3,7.2,192,1720,4660,1830,1422,2700,475,405,1500,80,70,370,0
2,2,40250,2387,209,4000,400,227,8.3,7.2,192,1720,4660,1830,1422,2700,475,405,1500,80,70,370,0
1,3,25950,1796,140,6500,175,206,10.4,7.8,183,1510,4660,1830,1417,2700,475,445,1500,80,70,121,0
1,3,31700,2198,185,6500,230,222,8.9,9.3,220,1570,4660,1830,1422,2700,475,445,1500,80,70,148,0
1,3,32850,2198,185,6500,230,222,8.9,9.2,216,1570,4660,1830,1422,2700,475,445,1500,80,70,148,0
1,3,35700,2198,185,6500,230,222,8.9,9.3,220,1570,4660,1830,1422,2700,475,445,1500,80,70,148,0
1,3,36850,2198,185,6500,230,222,8.9,9.2,216,1570,4660,1830,1422,2700,475,445,1500,80,70,148,0
1,3,36550,3195,260,6300,322,248,7.2,11.1,262,1665,4660,1830,1422,2700,475,445,1800,80,69,216,0
1,3,40250,3195,260,6300,322,248,7.2,11.1,262,1665,4660,1830,1422,2700,475,445,1800,80,69,216,0
1,3,38850,3195,260,6300,322,242,7.2,11.5,272,1735,4660,1830,1422,2700,475,445,1800,80,69,216,0
1,3,40950,3195,260,6300,322,242,7.3,12.2,288,1755,4660,1830,1422,2700,475,445,1800,80,69,216,0
1,3,42550,3195,260,6300,322,242,7.2,11.5,272,1735,4660,1830,1422,2700,475,445,1800,80,69,216,0
1,3,44650,3195,260,6300,322,242,7.3,12.2,288,1755,4660,1830,1422,2700,475,445,1800,80,69,216,0
2,3,26550,1910,120,4000,280,192,10.9,6,159,1605,4660,1830,1417,2700,475,445,1500,80,70,308,0
2,3,28600,1910,150,4000,320,210,9.4,6,159,1615,4660,1830,1417,2700,475,445,1500,80,70,308,0
2,3,31500,1910,150,4000,320,210,9.4,6,159,1615,4660,1830,1422,2700,475,445,1500,80,70,308,0
2,3,33600,1910,150,4000,320,207,9.7,7.2,190,1620,4660,1830,1422,2700,475,445,1500,80,70,308,0
2,3,35500,1910,150,4000,320,210,9.4,6,159,1615,4660,1830,1422,2700,475,445,1500,80,70,308,0
2,3,37600,1910,150,4000,320,207,9.7,7.2,190,1620,4660,1830,1422,2700,475,445,1500,80,70,308,0
2,3,37700,2387,200,4000,400,222,8.6,8,210,1730,4660,1830,1422,2700,475,445,1500,80,70,370,0
2,3,41400,2387,200,4000,400,222,8.6,8,210,1730,4660,1830,1422,2700,475,445,1500,80,70,370,0
2,3,35600,2387,209,4000,400,228,8.4,6.9,181,1710,4660,1830,1422,2700,475,445,1500,80,70,370,0
2,3,39300,2387,209,4000,400,228,8.4,6.9,181,1710,4660,1830,1422,2700,475,445,1500,80,70,370,0
2,3,37900,2387,209,4000,400,224,8.6,7.4,194,1770,4660,1830,1422,2700,475,445,1500,80,70,370,0
2,3,41600,2387,209,4000,400,224,8.6,7.4,194,1770,4660,1830,1422,2700,475,445,1500,80,70,370,0
1,4,28300,1970,165,6400,206,216,8.7,8.7,207,1395,4489,1763,1355,2596,445,320,1300,50,63,135,0
1,4,28750,1970,165,6400,206,216,8.7,8.7,207,1395,4489,1763,1355,2596,445,320,1300,50,63,135,0
1,4,29800,1970,165,6400,206,216,8.7,8.7,207,1395,4489,1763,1355,2596,445,320,1300,50,63,135,0
1,4,31350,1970,165,6400,206,216,8.7,8.7,207,1395,4489,1763,1355,2596,445,320,1300,50,63,135,0
1,4,32400,1970,165,6400,206,216,8.7,8.7,207,1395,4489,1763,1355,2596,445,320,1300,50,63,135,0
2,4,29950,1910,150,4000,305,209,9.2,6.2,165,1440,4489,1763,1355,2596,445,320,1300,50,63,308,0
2,4,32500,1910,150,4000,305,209,9.2,6.2,165,1440,4489,1763,1355,2596,445,320,1300,50,63,308,0
2,4,29980,1910,150,4000,305,209,9.2,6.2,165,1440,4489,1763,1355,2596,445,320,1300,50,63,308,0
1,4,31950,2198,185,6500,230,224,8.6,9.2,218,1520,4410,1830,1341,2528,385,300,1450,80,70,148,0
1,4,33100,2198,185,6500,230,224,8.6,9.1,214,1520,4410,1830,1341,2528,385,300,1450,80,70,148,0
1,4,38250,3195,260,6300,322,250,7,11,260,1615,4410,1830,1341,2528,385,300,1500,80,70,216,0
1,4,40550,3195,260,6300,322,244,6.8,11.4,270,1680,4410,1830,1341,2528,385,300,1500,80,70,216,0
1,4,42650,3195,260,6300,322,244,7,12.1,286,1700,4410,1830,1341,2528,385,300,1500,80,70,216,0
2,4,38000,2387,200,4000,400,225,8.3,7.9,208,1670,4410,1830,1341,2528,385,300,1500,80,70,370,0
2,4,35900,2387,210,4000,400,231,7.9,6.8,179,1650,4410,1830,1341,2528,385,300,1500,80,70,370,0
1,5,33750,2198,185,6500,230,224,8.8,9.2,218,1580,4393,1830,1318,2528,275,253,1450,0,70,148,0
1,5,34900,2198,185,6500,230,224,8.8,9.1,214,1580,4393,1830,1318,2528,275,253,1450,0,70,148,0
1,5,40750,3195,260,6300,322,250,7.2,11.1,262,1675,4393,1830,1318,2528,275,253,1500,0,70,216,0
1,5,43050,3195,260,6300,322,244,7,11.5,272,1740,4393,1830,1318,2528,275,253,1500,0,70,216,0
1,5,45150,3195,260,6300,322,244,7.2,12.2,288,1760,4393,1830,1318,2528,275,253,1500,0,70,216,0
2,5,39600,2387,200,4000,400,225,8.5,7.9,208,1730,4393,1830,1318,2528,275,253,1500,0,70,370,0
2,5,37500,2387,210,4000,400,231,8.1,6.8,179,1710,4393,1830,1318,2528,275,253,1500,0,70,370,0
1,4,111200,4300,385,7000,410,280,5,15,358,1630,4380,1865,1260,2600,200,300,0,0,80,290,1
1,4,115800,4300,385,7000,410,280,5,15.1,360,1630,4380,1865,1260,2600,200,300,0,0,80,290,1
1,4,129000,4300,405,7300,420,285,5,15,358,1630,4380,1865,1255,2600,200,300,0,0,80,290,1
1,4,133600,4300,405,7300,420,285,5,15.1,360,1630,4380,1865,1255,2600,200,300,0,0,80,290,1
1,5,122200,4300,385,7000,410,280,5,15,358,1710,4380,1865,1265,2600,120,144,0,0,80,290,1
1,5,126800,4300,385,7000,410,280,5,15.1,360,1710,4380,1865,1265,2600,120,144,0,0,80,290,1
1,5,140000,4300,405,7300,420,285,5,15,358,1710,4380,1865,1265,2600,120,144,0,0,80,290,1
1,5,144600,4300,405,7300,420,285,5,15.1,360,1710,4380,1865,1265,2600,120,144,0,0,80,290,1
1,4,163400,5935,476,6000,600,306,4.9,16.5,394,1710,4710,1875,1318,2740,350,155,0,0,85,405,1
1,4,168000,5935,476,6000,600,306,5.1,16.5,394,1800,4710,1875,1318,2740,260,155,0,0,85,405,1
1,4,240000,5935,517,6500,570,307,4.3,16.4,388,1695,4721,1905,1280,2740,365,155,0,0,78,405,1
1,6,177250,5935,476,6000,600,265,4.9,16.5,394,1815,4710,1875,1261,2740,340,138,0,0,85,405,1
1,6,181850,5935,476,6000,600,265,5.1,16.5,394,1855,4710,1875,1261,2740,300,138,0,0,85,405,1
1,1,20350,1595,102,5600,148,185,11.8,6.8,162,1260,4238,1765,1421,2578,485,350,1200,75,55,108,2
1,1,22100,1595,102,5600,148,185,11.7,6.7,159,1295,4238,1765,1421,2578,485,350,1200,75,55,108,2
1,1,22000,1595,102,5600,148,185,11.8,6.8,162,1260,4238,1765,1421,2578,485,350,1200,75,55,108,2
1,1,23750,1595,102,5600,148,185,11.7,6.7,159,1295,4238,1765,1421,2578,485,350,1200,75,55,108,2
1,1,22150,1595,102,5600,148,185,11.8,6.8,162,1260,4238,1765,1421,2578,485,350,1200,75,55,108,2
1,1,23900,1595,102,5600,148,185,11.7,6.7,159,1295,4238,1765,1421,2578,485,350,1200,75,55,108,2
1,1,21350,1390,125,5000,200,203,9.4,5.9,140,1320,4238,1765,1421,2578,485,350,1200,75,55,94,2
1,1,23100,1390,125,5000,200,203,9.3,5.6,133,1345,4238,1765,1421,2578,485,350,1200,75,55,94,2
1,1,23000,1390,125,5000,200,203,9.4,5.9,140,1320,4238,1765,1421,2578,485,350,1200,75,55,94,2
1,1,24750,1390,125,5000,200,203,9.3,5.6,133,1345,4238,1765,1421,2578,485,350,1200,75,55,94,2
1,1,23150,1390,125,5000,200,203,9.4,5.9,140,1320,4238,1765,1421,2578,485,350,1200,75,55,94,2
1,1,24900,1390,125,5000,200,203,9.3,5.6,133,1345,4238,1765,1421,2578,485,350,1200,75,55,94,2
1,1,24250,1798,160,5000,250,222,7.6,6.7,159,1355,4238,1765,1421,2578,485,350,1400,75,55,121,2
1,1,26350,1798,160,5000,250,222,7.5,6.6,153,1370,4238,1765,1421,2578,485,350,1400,75,55,121,2
1,1,26200,1798,160,5000,250,220,7.8,7.5,178,1450,4238,1765,1421,2578,485,281,1400,75,60,121,2
1,1,25900,1798,160,5000,250,222,7.6,6.7,159,1355,4238,1765,1421,2578,485,350,1400,75,55,121,2
1,1,27900,1798,160,5000,250,222,7.5,6.6,153,1370,4238,1765,1421,2578,485,350,1400,75,55,121,2
1,1,27850,1798,160,5000,250,220,7.8,7.5,178,1450,4238,1765,1421,2578,485,281,1400,75,60,121,2
1,1,26050,1798,160,5000,250,222,7.6,6.7,159,1355,4238,1765,1421,2578,485,350,1400,75,55,121,2
1,1,28000,1798,160,5000,250,222,7.5,6.6,153,1370,4238,1765,1421,2578,485,350,1400,75,55,121,2
1,1,28000,1798,160,5000,250,220,7.8,7.5,178,1450,4238,1765,1421,2578,485,281,1400,75,60,121,2
1,1,26700,1984,200,5100,280,238,7,7.2,171,1370,4238,1765,1421,2578,485,350,1500,75,55,135,2
1,1,28350,1984,200,5100,280,238,7,7.2,171,1370,4238,1765,1421,2578,485,350,1500,75,55,135,2
1,1,30350,1984,200,5100,280,238,6.8,7.2,171,1405,4238,1765,1421,2578,485,350,1500,75,55,135,2
1,1,32300,1984,200,5100,280,236,6.6,7.5,178,1490,4238,1765,1421,2578,485,281,1500,75,60,135,2
1,1,28500,1984,200,5100,280,238,7,7.2,171,1370,4238,1765,1421,2578,485,350,1500,75,55,135,2
1,1,30450,1984,200,5100,280,238,6.8,7.2,171,1405,4238,1765,1421,2578,485,350,1500,75,55,135,2
1,1,32400,1984,200,5100,280,236,6.6,7.5,178,1490,4238,1765,1421,2578,485,281,1500,75,60,135,2
1,1,35300,3189,250,6300,320,250,6.1,9.4,224,1585,4238,1765,1421,2578,485,281,1600,75,60,216,2
1,1,36950,1984,265,6000,350,250,5.7,8.5,199,1530,4230,1765,1399,2578,485,281,0,75,60,135,2
1,1,38900,1984,265,6000,350,250,5.5,8.3,193,1550,4230,1765,1399,2578,485,281,0,75,60,135,2
2,1,23200,1896,105,4000,250,187,11.4,4.7,124,1355,4238,1765,1421,2578,485,350,1400,75,55,293,2
2,1,23350,1896,105,4000,250,194,11.4,4.5,119,1355,4238,1765,1421,2578,485,350,0,75,55,293,2
2,1,24950,1896,105,4000,250,187,11.1,5.5,144,1395,4238,1765,1421,2578,485,350,1400,75,55,293,2
2,1,24850,1896,105,4000,250,187,11.4,4.7,124,1355,4238,1765,1421,2578,485,350,1400,75,55,293,2
2,1,26600,1896,105,4000,250,187,11.1,5.5,144,1395,4238,1765,1421,2578,485,350,1400,75,55,293,2
2,1,25000,1896,105,4000,250,187,11.4,4.7,124,1355,4238,1765,1421,2578,485,350,1400,75,55,293,2
2,1,26750,1896,105,4000,250,187,11.1,5.5,144,1395,4238,1765,1421,2578,485,350,1400,75,55,293,2
2,1,24350,1968,140,4000,320,207,9.4,5.1,134,1395,4238,1765,1421,2578,485,350,1400,75,55,308,2
2,1,26450,1968,140,4000,320,207,8.9,5.4,143,1420,4238,1765,1421,2578,485,350,1400,75,55,308,2
2,1,26000,1968,140,4000,320,207,9.4,5.1,134,1395,4238,1765,1421,2578,485,350,1400,75,55,308,2
2,1,26150,1968,140,4000,320,207,9.4,5.1,134,1395,4238,1765,1421,2578,485,350,1400,75,55,308,2
2,1,28100,1968,140,4000,320,207,8.9,5.4,143,1420,4238,1765,1421,2578,485,350,1400,75,55,308,2
2,1,28150,1968,170,4200,350,220,7.8,5.6,148,1500,4238,1765,1421,2578,485,281,1600,75,60,308,2
2,1,29800,1968,170,4200,350,220,7.8,5.6,148,1500,4238,1765,1421,2578,485,281,1600,75,60,308,2
2,1,29950,1968,170,4200,350,220,7.8,5.6,148,1500,4238,1765,1421,2578,485,281,1600,75,60,308,2
1,1,21250,1595,102,5600,148,185,12.1,6.9,164,1300,4292,1765,1423,2578,485,370,1200,75,55,108,2
1,1,23000,1595,102,5600,148,185,12,6.7,159,1335,4292,1765,1423,2578,485,370,1200,75,55,108,2
1,1,22900,1595,102,5600,148,185,12.1,6.9,164,1300,4292,1765,1423,2578,485,370,1200,75,55,108,2
1,1,24650,1595,102,5600,148,185,12,6.7,159,1335,4292,1765,1423,2578,485,370,1200,75,55,108,2
1,1,23050,1595,102,5600,148,185,12.1,6.9,164,1300,4292,1765,1423,2578,485,370,1200,75,55,108,2
1,1,24800,1595,102,5600,148,185,12,6.7,159,1335,4292,1765,1423,2578,485,370,1200,75,55,108,2
1,1,22250,1390,125,5000,200,203,9.6,6,143,1360,4292,1765,1423,2578,485,370,1200,75,55,94,2
1,1,24000,1390,125,5000,200,203,9.5,5.8,137,1385,4292,1765,1423,2578,485,370,1200,75,55,94,2
1,1,23900,1390,125,5000,200,203,9.6,6,143,1360,4292,1765,1423,2578,485,370,1200,75,55,94,2
1,1,25650,1390,125,5000,200,203,9.5,5.8,137,1385,4292,1765,1423,2578,485,370,1200,75,55,94,2
1,1,24050,1390,125,5000,200,203,9.6,6,143,1360,4292,1765,1423,2578,485,370,1200,75,55,94,2
1,1,25800,1390,125,5000,200,203,9.5,5.8,137,1385,4292,1765,1423,2578,485,370,1200,75,55,94,2
1,1,25150,1798,160,5000,250,222,7.8,6.7,159,1395,4292,1765,1423,2578,485,370,1400,75,55,121,2
1,2,34200,1984,170,4300,280,228,8.2,7.5,174,1595,4927,1855,1459,2843,505,546,1600,100,70,135,2
1,1,27250,1798,160,5000,250,222,7.7,6.7,158,1410,4292,1765,1423,2578,485,370,1400,75,55,121,2
1,1,27100,1798,160,5000,250,220,8,7.6,179,1490,4292,1765,1423,2578,485,302,1400,75,60,121,2
1,1,26800,1798,160,5000,250,222,7.8,6.7,159,1395,4292,1765,1423,2578,485,370,1400,75,55,121,2
1,1,28800,1798,160,5000,250,222,7.7,6.7,158,1410,4292,1765,1423,2578,485,370,1400,75,55,121,2
1,1,28750,1798,160,5000,250,220,8,7.6,179,1490,4292,1765,1423,2578,485,302,1400,75,60,121,2
1,1,26950,1798,160,5000,250,222,7.8,6.7,159,1395,4292,1765,1423,2578,485,370,1400,75,55,121,2
1,1,28900,1798,160,5000,250,222,7.7,6.7,158,1410,4292,1765,1423,2578,485,370,1400,75,55,121,2
1,1,28900,1798,160,5000,250,220,8,7.6,179,1490,4292,1765,1423,2578,485,302,1400,75,60,121,2
1,1,27600,1984,200,5100,280,238,7.1,7.2,171,1410,4286,1765,1423,2578,485,370,1500,75,55,135,2
1,1,29250,1984,200,5100,280,238,7.1,7.2,171,1410,4292,1765,1423,2578,485,370,1500,75,55,135,2
1,1,31250,1984,200,5100,280,238,7,7.2,171,1445,4292,1765,1423,2578,485,370,1500,75,55,135,2
1,1,33200,1984,200,5100,280,236,6.7,7.6,180,1530,4292,1765,1423,2578,485,302,1500,75,60,135,2
1,1,29400,1984,200,5100,280,238,7.1,7.2,171,1410,4292,1765,1423,2578,485,370,1500,75,55,135,2
1,1,31350,1984,200,5100,280,238,7,7.2,171,1445,4292,1765,1423,2578,485,370,1500,75,55,135,2
1,1,33300,1984,200,5100,280,236,6.7,7.6,180,1530,4292,1765,1423,2578,485,302,1500,75,60,135,2
1,1,36200,3189,250,6300,320,250,6.2,9.4,224,1625,4292,1765,1423,2578,485,302,1600,75,60,216,2
1,1,37850,1984,265,6000,350,250,5.8,8.5,201,1570,4302,1765,1402,2578,485,302,0,75,60,135,2
1,1,39800,1984,265,6000,350,250,5.6,8.4,195,1590,4302,1765,1402,2578,485,302,0,75,60,135,2
2,1,24100,1896,105,4000,250,187,11.7,4.8,127,1395,4292,1765,1423,2578,500,370,1400,75,55,293,2
2,1,24250,1896,105,4000,250,194,11.7,4.5,119,1395,4292,1765,1423,2578,500,370,0,75,55,293,2
2,1,25850,1896,105,4000,250,187,11.4,5.5,144,1435,4292,1765,1423,2578,485,370,1400,75,55,293,2
2,1,25750,1896,105,4000,250,187,11.7,4.8,127,1395,4292,1765,1423,2578,500,370,1400,75,55,293,2
2,1,27500,1896,105,4000,250,187,11.4,5.5,144,1435,4292,1765,1423,2578,485,370,1400,75,55,293,2
2,1,25900,1896,105,4000,250,187,11.7,4.8,127,1395,4292,1765,1423,2578,500,370,1400,75,55,293,2
1,2,36400,1984,170,4300,280,224,8.5,7.7,179,1625,4927,1855,1459,2843,505,546,1700,100,70,135,2
2,1,27650,1896,105,4000,250,187,11.4,5.5,144,1435,4292,1765,1423,2578,485,370,1400,75,55,293,2
2,1,25250,1968,140,4000,320,207,9.6,5.1,134,1435,4292,1765,1423,2578,485,370,1400,75,55,308,2
2,1,27350,1968,140,4000,320,207,9.1,5.4,143,1460,4292,1765,1423,2578,485,370,1400,75,55,308,2
2,1,26900,1968,140,4000,320,207,9.6,5.1,134,1435,4292,1765,1423,2578,485,370,1400,75,55,308,2
2,1,28900,1968,140,4000,320,207,9.1,5.4,143,1460,4292,1765,1423,2578,485,370,1400,75,55,308,2
2,1,27050,1968,140,4000,320,207,9.6,5.1,134,1435,4292,1765,1423,2578,485,370,1400,75,55,308,2
2,1,29000,1968,140,4000,320,207,9.1,5.4,143,1460,4292,1765,1423,2578,485,370,1400,75,55,308,2
2,1,29050,1968,170,4200,350,222,7.9,5.6,148,1540,4292,1765,1423,2578,485,302,1600,75,60,308,2
2,1,30700,1968,170,4200,350,222,7.9,5.6,148,1540,4292,1765,1423,2578,485,302,1600,75,60,308,2
2,1,30850,1968,170,4200,350,222,7.9,5.6,148,1540,4292,1765,1423,2578,485,302,1600,75,60,308,2
1,6,24950,1595,102,5600,148,183,12.5,7,167,1405,4238,1765,1424,2578,425,260,1200,0,55,108,2
1,6,26700,1595,102,5600,148,183,12.5,7,167,1405,4238,1765,1424,2578,425,260,1200,0,55,108,2
1,6,29100,1798,160,5000,250,218,8.3,7.3,174,1425,4238,1765,1424,2578,500,260,1400,0,55,121,2
1,6,31150,1798,160,5000,250,218,8,7.6,180,1455,4238,1765,1424,2578,500,260,1400,0,55,121,2
1,6,30850,1798,160,5000,250,218,8.3,7.3,174,1425,4238,1765,1424,2578,500,260,1400,0,55,121,2
1,6,32750,1798,160,5000,250,218,8,7.6,180,1455,4238,1765,1424,2578,500,260,1400,0,55,121,2
1,6,31500,1984,200,5100,280,231,7.4,7.6,182,1435,4238,1765,1424,2578,500,260,1400,0,55,135,2
1,6,33250,1984,200,5100,280,231,7.4,7.6,182,1435,4238,1765,1424,2578,500,260,1400,0,55,135,2
1,6,35150,1984,200,5100,280,231,7.3,7.6,181,1485,4238,1765,1424,2578,500,260,1400,0,55,135,2
2,6,27950,1896,105,4000,250,185,12.3,5.1,134,1425,4238,1765,1424,2578,500,260,1400,0,55,293,2
2,6,29700,1896,105,4000,250,185,12.3,5.1,134,1425,4238,1765,1424,2578,500,260,1400,0,55,293,2
2,6,29900,1968,140,4200,320,205,9.7,5.3,139,1475,4238,1765,1424,2578,500,260,1400,0,55,308,2
2,6,31950,1968,140,4200,320,205,9.4,5.6,148,1495,4238,1765,1424,2578,500,260,1400,0,55,308,2
2,6,31650,1968,140,4200,320,205,9.7,5.3,139,1475,4238,1765,1424,2578,500,260,1400,0,55,308,2
2,6,33550,1968,140,4200,320,205,9.4,5.6,148,1495,4238,1765,1424,2578,500,260,1400,0,55,308,2
1,4,29700,1798,160,4500,250,226,7.2,6.7,155,1315,4178,1842,1352,2468,325,290,0,75,55,121,2
1,4,33100,1984,200,5100,280,240,6.6,7.7,183,1335,4178,1842,1352,2468,325,290,0,75,55,135,2
1,4,35250,1984,200,5100,280,240,6.4,7.7,183,1355,4178,1842,1352,2468,325,290,0,75,55,135,2
1,4,37600,1984,200,5100,280,238,6.2,7.7,178,1435,4178,1842,1352,2468,325,290,0,75,60,135,2
1,4,41300,3189,250,6300,320,250,5.9,10.3,247,1485,4178,1842,1352,2468,325,290,0,75,60,216,2
1,4,43450,3189,250,6300,320,250,5.7,9.4,224,1505,4178,1842,1352,2468,325,290,0,75,60,216,2
1,4,45400,1984,272,6000,350,250,5.4,8.1,188,1395,4198,1842,1345,2468,400,290,0,75,60,135,2
1,4,47550,1984,272,6000,350,250,5.2,7.9,184,1415,4198,1842,1345,2468,400,290,0,75,60,135,2
2,4,35100,1968,170,4200,350,226,7.5,5.3,139,1445,4178,1842,1352,2468,325,290,0,75,60,308,2
1,5,30800,1798,160,4500,250,223,7.4,6.9,159,1360,4178,1842,1358,2468,245,250,0,0,55,121,2
1,5,34150,1984,200,5100,280,237,6.7,7.8,186,1370,4178,1842,1358,2468,245,250,0,0,55,135,2
1,5,36300,1984,200,5100,280,237,6.5,7.8,186,1390,4178,1842,1358,2468,245,250,0,0,55,135,2
1,5,38650,1984,200,5100,280,235,6.4,7.8,181,1480,4178,1842,1358,2468,245,250,0,0,60,135,2
1,5,44150,3189,250,6300,320,250,6.1,10.4,250,1545,4178,1842,1358,2468,245,250,0,0,60,216,2
1,5,46300,3189,250,6300,320,250,5.9,9.5,227,1565,4178,1842,1358,2468,245,250,0,0,60,216,2
1,5,48250,1984,272,6000,350,250,5.6,8.3,193,1455,4198,1842,1350,2468,320,250,0,0,60,135,2
1,5,50400,1984,272,6000,350,250,5.4,8,187,1475,4198,1842,1350,2468,320,250,0,0,60,135,2
2,5,36150,1968,170,4200,350,223,7.7,5.5,144,1490,4178,1842,1358,2468,245,250,0,0,60,308,2
1,2,26100,1798,120,3650,230,208,10.5,7.1,169,1485,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,28250,1798,120,3650,230,200,10.5,7.5,177,1530,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,28400,1798,120,3650,230,208,10.5,7.1,169,1485,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,30550,1798,120,3650,230,200,10.5,7.5,177,1530,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,28400,1798,120,3650,230,208,10.5,7.1,169,1485,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,30550,1798,120,3650,230,200,10.5,7.5,177,1530,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,29200,1798,160,4500,250,225,8.6,7.1,164,1485,4703,1826,1427,2808,475,480,1300,90,65,121,2
1,2,31350,1798,160,4500,250,218,8.6,7.2,174,1525,4703,1826,1427,2808,475,480,1300,90,65,121,2
