"height","lengthe","area","eccen","p_black","p_and","mean_tr","blackpix","blackand","wb_trans","class"
12,7,84,0.58,0.21,0.58,3.6,18,49,5,0
12,44,528,3.67,0.29,0.74,2.31,155,392,67,0
10,63,630,6.3,0.23,0.71,1.69,147,444,87,0
9,32,288,3.56,0.27,0.59,2.23,78,171,35,0
13,10,130,0.77,0.3,0.81,6.5,39,105,6,0
11,86,946,7.82,0.41,0.85,3.1,391,807,126,0
11,20,220,1.82,0.17,0.75,3.36,37,165,11,0
9,5,45,0.56,0.38,0.93,2.83,17,42,6,0
8,3,24,0.38,0.42,0.42,10,10,10,1,0
11,65,715,5.91,0.39,0.88,2.61,279,627,107,0
9,37,333,4.11,0.53,0.9,3.18,175,299,55,0
9,21,189,2.33,0.29,0.76,1.57,55,144,35,0
8,8,64,1,0.23,0.33,5,15,21,3,0
10,100,1000,10,0.44,0.91,2.53,436,910,172,0
9,85,765,9.44,0.3,0.81,1.82,231,621,127,0
9,32,288,3.56,0.3,0.78,2.07,87,225,42,0
11,101,1111,9.18,0.4,0.89,2.76,442,987,160,0
11,119,1309,10.82,0.26,0.8,1.88,341,1045,181,0
10,126,1260,12.6,0.43,0.86,2.68,536,1086,200,0
9,13,117,1.44,0.24,0.46,4.67,28,54,6,0
9,75,675,8.33,0.26,0.61,2.19,173,409,79,0
11,119,1309,10.82,0.24,0.75,1.75,309,978,177,0
10,44,440,4.4,0.39,0.85,3.15,173,375,55,0
9,40,360,4.44,0.36,0.97,2.29,128,348,56,0
8,48,384,6,0.3,0.91,1.76,116,351,66,0
9,44,396,4.89,0.46,0.94,2.84,182,371,64,0
9,47,423,5.22,0.27,0.75,2.42,116,316,48,0
9,40,360,4.44,0.32,0.92,2.35,115,331,49,0
11,77,847,7,0.35,0.87,2.43,292,740,120,0
9,41,369,4.56,0.3,0.89,1.91,111,327,58,0
14,185,2590,13.21,0.25,0.65,2.27,657,1687,289,0
10,152,1520,15.2,0.3,0.78,2.17,452,1182,208,0
9,123,1107,13.67,0.36,0.99,2.62,401,1091,153,0
10,131,1310,13.1,0.42,0.86,2.74,543,1123,198,0
1,12,12,12,0.58,1,3.5,7,12,2,0
6,27,162,4.5,0.15,0.48,2.78,25,78,9,0
7,15,105,2.14,0.32,0.76,3.09,34,80,11,0
7,58,406,8.29,0.2,0.75,2.34,82,305,35,0
7,46,322,6.57,0.16,0.59,4.17,50,189,12,0
1,27,27,27,0.59,1,4,16,27,4,0
7,17,119,2.43,0.23,0.58,2.7,27,69,10,0
2,31,62,15.5,0.19,0.52,2,12,32,6,0
1,12,12,12,0.58,1,3.5,7,12,2,0
2,17,34,8.5,0.32,1,2.75,11,34,4,0
2,11,22,5.5,0.41,0.96,9,9,21,1,0
2,19,38,9.5,0.24,1,1.8,9,38,5,0
7,107,749,15.29,0.27,0.65,1.6,202,490,126,0
5,9,45,1.8,0.27,0.78,1.71,12,35,7,0
11,9,99,0.82,0.49,0.73,6,48,72,8,0
11,8,88,0.73,0.71,1,7.75,62,88,8,0
11,8,88,0.73,0.44,0.47,39,39,41,1,0
11,7,77,0.64,0.6,1,5.75,46,77,8,0
11,7,77,0.64,0.47,1,3.6,36,77,10,0
11,9,99,0.82,0.48,0.64,15.67,47,63,3,0
11,8,88,0.73,0.51,0.85,9,45,75,5,0
10,38,380,3.8,0.39,0.89,2.49,147,337,59,0
8,20,160,2.5,0.5,1,2.76,80,160,29,0
9,36,324,4,0.54,0.93,2.87,175,301,61,0
10,98,980,9.8,0.39,0.84,2.41,383,818,159,0
10,49,490,4.9,0.52,0.96,2.97,255,471,86,0
10,21,210,2.1,0.33,0.84,2.56,69,177,27,0
9,19,171,2.11,0.29,0.76,2.63,50,130,19,0
9,55,495,6.11,0.3,1,1.92,148,495,77,0
9,14,126,1.56,0.13,0.94,1.78,16,118,9,0
8,23,184,2.88,0.29,1,1.47,53,184,36,0
8,35,280,4.38,0.38,0.89,1.66,106,248,64,0
9,96,864,10.67,0.28,0.82,1.96,243,704,124,0
9,66,594,7.33,0.32,0.81,2,192,478,96,0
9,34,306,3.78,0.34,0.82,1.81,103,250,57,0
8,83,664,10.38,0.33,0.91,1.76,216,603,123,0
8,80,640,10,0.3,0.92,1.72,194,590,113,0
9,95,855,10.56,0.29,0.72,2.1,244,618,116,0
8,80,640,10,0.3,0.88,1.72,191,565,111,0
10,13,130,1.3,0.11,0.69,2.33,14,89,6,0
8,70,560,8.75,0.34,0.92,1.66,191,514,115,0
11,84,924,7.64,0.26,0.82,1.69,242,758,143,0
9,99,891,11,0.27,0.82,1.93,241,729,125,0
9,80,720,8.89,0.29,0.87,1.85,211,625,114,0
11,101,1111,9.18,0.24,0.82,1.61,265,909,165,0
12,26,312,2.17,0.22,1,1.6,69,312,43,0
12,40,480,3.33,0.27,0.73,1.97,130,352,66,0
8,84,672,10.5,0.27,0.97,1.79,181,649,101,0
8,53,424,6.63,0.36,0.98,1.54,152,416,99,0
8,41,328,5.13,0.36,0.94,1.63,119,309,73,0
9,82,738,9.11,0.25,0.74,2,186,546,93,0
7,14,98,2,0.18,0.61,18,18,60,1,0
8,26,208,3.25,0.38,0.95,1.77,78,197,44,0
8,46,368,5.75,0.39,0.95,1.85,144,350,78,0
9,34,306,3.78,0.38,0.96,1.71,116,294,68,0
11,26,286,2.36,0.3,0.94,2.02,85,269,42,0
11,42,462,3.82,0.34,0.83,2.25,155,383,69,0
12,62,744,5.17,0.23,0.66,1.58,174,491,110,0
8,75,600,9.38,0.33,0.89,1.86,197,533,106,0
8,18,144,2.25,0.48,0.99,2.16,69,142,32,0
7,33,231,4.71,0.14,0.84,2.36,33,195,14,0
9,64,576,7.11,0.47,0.9,2.58,268,518,104,0
9,36,324,4,0.57,0.93,3.02,184,302,61,0
8,8,64,1,0.2,0.34,4.33,13,22,3,0
8,21,168,2.63,0.34,0.67,1.97,57,113,29,0
9,99,891,11,0.46,0.94,2.52,413,839,164,0
9,84,756,9.33,0.29,0.79,1.83,218,598,119,0
8,31,248,3.88,0.33,0.79,1.84,81,196,44,0
9,101,909,11.22,0.44,0.86,2.68,402,783,150,0
11,118,1298,10.73,0.26,0.82,2.01,338,1061,168,0
10,126,1260,12.6,0.41,0.83,2.63,516,1049,196,0
12,117,1404,9.75,0.22,0.67,1.68,309,945,184,0
9,35,315,3.89,0.26,0.67,2.86,83,210,29,0
9,46,414,5.11,0.29,0.68,1.92,121,280,63,0
8,44,352,5.5,0.43,0.94,3.26,150,330,46,0
8,48,384,6,0.31,0.81,1.92,119,310,62,0
8,40,320,5,0.4,0.99,2.53,129,317,51,0
8,45,360,5.63,0.47,0.96,2.91,169,344,58,0
9,20,180,2.22,0.26,0.56,2.35,47,100,20,0
9,22,198,2.44,0.3,0.97,2.11,59,191,28,0
8,41,328,5.13,0.34,0.93,2.08,110,306,53,0
8,43,344,5.38,0.35,0.81,2.26,120,280,53,0
11,301,3311,27.36,0.31,0.74,2.22,1019,2435,458,0
7,35,245,5,0.45,0.87,2.47,111,214,45,0
9,122,1098,13.56,0.34,0.95,2.57,372,1040,145,0
10,130,1300,13,0.43,0.77,2.79,552,1005,198,0
6,46,276,7.67,0.22,0.8,2,60,222,30,0
6,27,162,4.5,0.14,0.67,2,22,109,11,0
5,8,40,1.6,0.35,0.68,4.67,14,27,3,0
5,3,15,0.6,0.47,1,7,7,15,1,0
5,35,175,7,0.2,0.83,4.38,35,145,8,0
4,47,188,11.75,0.3,0.74,2.33,56,139,24,0
3,31,93,10.33,0.23,0.77,2.1,21,72,10,0
3,16,48,5.33,0.38,0.94,2.25,18,45,8,0
7,122,854,17.43,0.28,0.63,1.73,240,535,139,0
11,21,231,1.91,0.41,0.68,3.96,95,157,24,0
11,8,88,0.73,0.38,0.6,4.13,33,53,8,0
11,9,99,0.82,0.47,0.82,9.2,46,81,5,0
10,8,80,0.8,0.5,1,5,40,80,8,0
10,21,210,2.1,0.32,0.6,3.4,68,126,20,0
10,38,380,3.8,0.44,0.9,2.83,167,341,59,0
9,36,324,4,0.55,0.91,3.3,178,296,54,0
8,20,160,2.5,0.53,0.94,3.5,84,150,24,0
10,96,960,9.6,0.42,0.89,2.49,401,851,161,0
9,49,441,5.44,0.59,1,3.05,262,440,86,0
9,23,207,2.56,0.3,1,1.62,63,207,39,0
9,37,333,4.11,0.38,0.81,2.05,127,269,62,0
9,20,180,2.22,0.34,0.87,2.35,61,157,26,0
8,79,632,9.88,0.38,0.96,2.12,237,604,112,0
9,81,729,9,0.39,0.9,2.38,283,654,119,0
8,67,536,8.38,0.38,0.75,2.49,204,400,82,0
9,32,288,3.56,0.29,0.83,1.53,84,238,55,0
10,11,110,1.1,0.38,1,1.5,42,110,28,0
10,64,640,6.4,0.3,0.81,2.25,189,517,84,0
10,83,830,8.3,0.3,0.73,2.02,245,602,121,0
12,73,876,6.08,0.26,0.59,2.14,225,518,105,0
8,17,136,2.13,0.35,0.8,2,48,109,24,0
9,12,108,1.33,0.41,0.88,1.69,44,95,26,0
9,82,738,9.11,0.34,0.91,2.02,253,674,125,0
8,53,424,6.63,0.37,0.9,1.76,157,382,89,0
11,83,913,7.55,0.27,0.9,1.71,250,822,146,0
10,81,810,8.1,0.28,0.81,2.11,226,656,107,0
9,82,738,9.11,0.33,0.87,2.11,243,643,115,0
11,100,1100,9.09,0.27,0.77,1.9,296,842,156,0
25,71,1775,2.84,0.23,0.75,2.22,416,1328,187,0
9,82,738,9.11,0.25,0.94,2.09,182,690,87,0
9,97,873,10.78,0.33,0.92,1.77,286,804,162,0
9,32,288,3.56,0.33,0.86,1.68,96,248,57,0
8,82,656,10.25,0.4,0.95,2.51,261,624,104,0
12,13,156,1.08,0.37,0.98,2.32,58,153,25,0
12,8,96,0.67,0.2,1,2.11,19,96,9,0
12,43,516,3.58,0.29,0.79,2.29,151,408,66,0
8,75,600,9.38,0.42,0.91,2.37,249,546,105,0
11,84,924,7.64,0.25,0.68,1.77,232,629,131,0
19,123,2337,6.47,0.09,0.09,207,207,208,1,0
8,6,48,0.75,0.5,0.65,8,24,31,3,0
10,65,650,6.5,0.45,0.91,2.58,289,592,112,0
9,37,333,4.11,0.6,0.95,3.49,199,315,57,0
9,20,180,2.22,0.34,0.77,1.74,61,139,35,0
4,8,32,2,0.34,0.78,1.83,11,25,6,0
10,100,1000,10,0.45,0.87,2.82,449,874,159,0
9,32,288,3.56,0.37,0.78,2.23,105,225,47,0
9,82,738,9.11,0.34,0.82,2.01,249,603,124,0
10,101,1010,10.1,0.47,0.89,3.02,471,902,156,0
12,116,1392,9.67,0.25,0.71,1.99,343,984,172,0
10,126,1260,12.6,0.46,0.85,3.16,584,1068,185,0
9,86,774,9.56,0.3,0.65,2.22,233,501,105,0
11,115,1265,10.46,0.27,0.72,1.79,337,915,188,0
9,44,396,4.89,0.47,0.94,3.35,184,374,55,0
8,46,368,5.75,0.35,0.92,1.97,128,338,65,0
8,40,320,5,0.39,0.99,2.08,125,317,60,0
9,45,405,5,0.44,0.96,3.31,179,387,54,0
8,45,360,5.63,0.37,0.9,2.44,132,323,54,0
8,41,328,5.13,0.42,0.97,2.53,139,317,55,0
8,42,336,5.25,0.36,0.97,2.18,122,326,56,0
14,339,4746,24.21,0.25,0.55,2.44,1175,2596,481,0
10,123,1230,12.3,0.36,0.89,2.99,445,1092,149,0
10,131,1310,13.1,0.46,0.85,3,597,1115,199,0
8,14,112,1.75,0.22,0.66,3.57,25,74,7,0
9,174,1566,19.33,0.18,0.74,1.71,279,1154,163,0
8,45,360,5.63,0.16,0.73,1.87,56,261,30,0
7,27,189,3.86,0.1,0.62,3.8,19,117,5,0
1,9,9,9,0.78,1,7,7,9,1,0
8,122,976,15.25,0.23,0.65,1.44,222,634,154,0
11,96,1056,8.73,0.33,0.95,4.32,350,1007,81,0
10,20,200,2,0.44,0.89,2.9,87,178,30,0
9,97,873,10.78,0.47,0.97,2.42,407,849,168,0
9,21,189,2.33,0.35,0.88,2.68,67,166,25,0
9,80,720,8.89,0.34,0.95,2.04,243,687,119,0
11,85,935,7.73,0.25,0.66,1.73,234,621,135,0
9,76,684,8.44,0.36,0.87,2.18,248,598,114,0
8,2,16,0.25,0.56,0.56,9,9,9,1,0
9,33,297,3.67,0.26,0.77,1.67,77,230,46,0
9,120,1080,13.33,0.33,0.86,1.98,358,928,181,0
12,118,1416,9.83,0.25,0.77,1.95,358,1086,184,0
11,207,2277,18.82,0.27,0.72,1.84,610,1647,332,0
9,92,828,10.22,0.37,0.95,2.2,302,790,137,0
9,93,837,10.33,0.32,0.89,2.06,270,743,131,0
9,43,387,4.78,0.38,0.92,2.25,146,357,65,0
7,9,63,1.29,0.33,0.49,21,21,31,1,0
3,7,21,2.33,0.62,0.62,13,13,13,1,0
6,17,102,2.83,0.28,0.82,2,28,84,14,0
6,22,132,3.67,0.2,1,2.89,26,132,9,0
6,29,174,4.83,0.29,0.92,1.5,51,160,34,0
5,46,230,9.2,0.28,0.84,2.21,64,192,29,0
5,30,150,6,0.16,0.66,1.71,24,99,14,0
4,16,64,4,0.39,0.94,1.67,25,60,15,0
7,45,315,6.43,0.2,0.78,1.91,63,244,33,0
7,27,189,3.86,0.24,0.74,2.81,45,140,16,0
10,122,1220,12.2,0.27,0.54,2.03,333,659,164,0
11,49,539,4.46,0.34,0.67,4.3,185,359,43,0
11,35,385,3.18,0.34,0.58,4.78,129,225,27,0
10,38,380,3.8,0.43,0.89,2.89,165,339,57,0
9,36,324,4,0.55,0.93,3.51,179,300,51,0
10,98,980,9.8,0.45,0.88,2.74,439,863,160,0
9,21,189,2.33,0.53,0.96,3.33,100,181,30,0
10,49,490,4.9,0.55,0.94,3.07,270,462,88,0
1,49,49,49,0.29,1,7,14,49,2,0
10,24,240,2.4,0.27,0.82,2.06,64,197,31,0
9,36,324,4,0.42,0.89,2,136,288,68,0
9,21,189,2.33,0.39,0.9,2.74,74,170,27,0
9,78,702,8.67,0.35,0.86,2.17,245,606,113,0
11,67,737,6.09,0.33,0.84,2.28,244,622,107,0
10,33,330,3.3,0.37,0.86,1.95,121,285,62,0
10,79,790,7.9,0.39,0.88,2.13,304,695,143,0
10,80,800,8,0.31,0.8,2.06,251,639,122,0
11,97,1067,8.82,0.3,0.67,2.4,317,711,132,0
9,82,738,9.11,0.39,0.92,2.33,287,679,123,0
9,69,621,7.67,0.34,0.88,1.75,213,544,122,0
12,84,1008,7,0.28,0.78,1.91,284,784,149,0
9,82,738,9.11,0.38,0.88,2.35,280,649,119,0
10,11,110,1.1,0.37,1,1.58,41,110,26,0
10,63,630,6.3,0.29,0.9,2.2,185,564,84,0
11,102,1122,9.27,0.29,0.83,1.87,324,930,173,0
9,82,738,9.11,0.39,0.94,2.29,284,690,124,0
22,26,572,1.18,0.28,0.92,1.93,162,525,84,0
22,47,1034,2.14,0.32,0.75,2.13,330,779,155,0
10,53,530,5.3,0.34,0.9,1.82,180,477,99,0
10,40,400,4,0.34,0.88,1.9,135,351,71,0
8,82,656,10.25,0.29,1,1.99,189,654,95,0
10,34,340,3.4,0.36,0.8,1.83,121,273,66,0
9,81,729,9,0.35,0.93,2.21,254,676,115,0
11,13,143,1.18,0.42,0.98,2.22,60,140,27,0
11,8,88,0.73,0.25,1,2.44,22,88,9,0
11,43,473,3.91,0.33,0.88,2.47,158,414,64,0
9,75,675,8.33,0.4,0.91,2.21,267,617,121,0
11,86,946,7.82,0.28,0.76,1.91,268,723,140,0
9,6,54,0.67,0.5,0.59,13.5,27,32,2,0
10,64,640,6.4,0.51,0.97,2.84,329,618,116,0
9,36,324,4,0.61,0.93,3.36,198,300,59,0
9,34,306,3.78,0.29,0.64,2.1,88,196,42,0
10,98,980,9.8,0.46,0.95,2.72,454,926,167,0
9,121,1089,13.44,0.36,0.82,2.2,388,890,176,0
11,100,1100,9.09,0.46,0.88,3.04,502,970,165,0
25,118,2950,4.72,0.27,0.75,2.02,791,2198,392,0
10,126,1260,12.6,0.46,0.88,2.85,575,1113,202,0
10,85,850,8.5,0.33,0.7,2.28,283,592,124,0
9,43,387,4.78,0.51,0.96,3.58,197,371,55,0
9,47,423,5.22,0.33,0.76,2.39,141,320,59,0
10,40,400,4,0.43,0.9,3.05,171,358,56,0
9,44,396,4.89,0.47,0.94,3.14,185,374,59,0
9,47,423,5.22,0.31,0.78,2.34,131,330,56,0
9,41,369,4.56,0.43,0.96,2.71,157,355,58,0
9,39,351,4.33,0.29,0.94,2.06,103,329,50,0
14,340,4760,24.29,0.26,0.59,2.45,1232,2819,503,0
9,123,1107,13.67,0.4,0.99,2.84,437,1097,154,0
10,131,1310,13.1,0.44,0.85,2.79,575,1107,206,0
7,47,329,6.71,0.27,0.88,2.23,89,289,40,0
8,27,216,3.38,0.22,0.83,2.14,47,179,22,0
7,17,119,2.43,0.41,0.93,2.72,49,111,18,0
8,59,472,7.38,0.32,0.88,2.41,152,416,63,0
8,47,376,5.88,0.36,0.88,2,136,331,68,0
8,32,256,4,0.34,0.79,2.46,86,202,35,0
8,16,128,2,0.48,0.91,2.44,61,116,25,0
7,16,112,2.29,0.42,0.77,2.14,47,86,22,0
7,100,700,14.29,0.41,0.85,1.83,288,594,157,0
12,8,96,0.67,0.45,0.66,4.3,43,63,10,0
12,8,96,0.67,0.62,0.97,5.9,59,93,10,0
12,8,96,0.67,0.48,0.5,46,46,48,1,0
12,8,96,0.67,0.79,1,15.2,76,96,5,0
12,7,84,0.58,0.56,1,5.22,47,84,9,0
12,23,276,1.92,0.42,0.62,8.21,115,172,14,0
14,18,252,1.29,0.16,0.61,3.33,40,153,12,0
10,51,510,5.1,0.31,0.86,2.29,156,436,68,0
9,24,216,2.67,0.54,1,2.9,116,216,40,0
10,22,220,2.2,0.34,0.84,2.74,74,184,27,0
9,37,333,4.11,0.54,0.9,2.8,179,300,64,0
37,101,3737,2.73,0.28,0.7,2.44,1053,2596,432,0
10,34,340,3.4,0.42,0.91,2.01,143,308,71,0
11,98,1078,8.91,0.32,0.64,2.8,342,693,122,0
12,83,996,6.92,0.3,0.81,1.99,300,811,151,0
34,114,3876,3.35,0.11,0.3,2.59,406,1166,157,0
12,101,1212,8.42,0.29,0.79,1.99,354,960,178,0
10,87,870,8.7,0.34,0.9,2.27,299,784,132,0
10,98,980,9.8,0.38,0.86,2.1,368,844,175,0
10,84,840,8.4,0.36,0.85,2.47,299,713,121,0
9,47,423,5.22,0.49,0.95,2.42,208,401,86,0
9,33,297,3.67,0.46,0.98,2.19,136,292,62,0
10,78,780,7.8,0.38,0.86,2.52,297,668,118,0
12,8,96,0.67,0.29,1,3.11,28,96,9,0
12,43,516,3.58,0.36,0.85,2.71,184,438,68,0
11,86,946,7.82,0.33,0.81,2.2,314,764,143,0
9,5,45,0.56,0.71,0.89,10.67,32,40,3,0
9,7,63,0.78,0.35,0.68,2.2,22,43,10,0
8,21,168,2.63,0.31,0.74,1.68,52,125,31,0
9,121,1089,13.44,0.4,0.84,2.4,434,918,181,0
11,118,1298,10.73,0.35,0.8,2.71,452,1035,167,0
10,37,370,3.7,0.35,0.71,3.2,131,262,41,0
10,47,470,4.7,0.34,0.63,2.26,158,295,70,0
11,92,1012,8.36,0.36,0.85,2.3,365,861,159,0
10,21,210,2.1,0.36,0.82,2.11,76,172,36,0
9,47,423,5.22,0.37,0.87,2.75,157,366,57,0
9,41,369,4.56,0.51,0.99,3.28,187,366,57,0
10,18,180,1.8,0.51,0.87,2.97,92,157,31,0
9,47,423,5.22,0.39,0.92,2.51,163,388,65,0
9,41,369,4.56,0.44,0.98,2.88,164,360,57,0
9,45,405,5,0.43,0.94,2.77,172,380,62,0
8,46,368,5.75,0.32,0.82,2.09,117,301,56,0
7,31,217,4.43,0.3,0.86,1.64,64,186,39,0
6,17,102,2.83,0.31,0.69,2.29,32,70,14,0
8,59,472,7.38,0.29,0.89,1.82,138,419,76,0
7,17,119,2.43,0.39,0.86,2.71,46,102,17,0
8,28,224,3.5,0.26,0.84,1.93,58,189,30,0
8,45,360,5.63,0.21,0.79,1.8,74,284,41,0
11,123,1353,11.18,0.25,0.51,1.95,338,695,173,0
11,9,99,0.82,0.47,0.77,3.83,46,76,12,0
11,8,88,0.73,0.6,1,4.08,53,88,13,0
11,61,671,5.55,0.36,0.61,5.04,242,412,48,0
10,38,380,3.8,0.43,0.94,2.78,164,357,59,0
9,36,324,4,0.56,0.92,3.21,180,299,56,0
9,98,882,10.89,0.49,0.97,2.78,433,859,156,0
9,21,189,2.33,0.49,0.86,3.29,92,162,28,0
10,49,490,4.9,0.59,0.98,3.11,289,481,93,0
9,23,207,2.56,0.3,1,1.51,62,207,41,0
9,37,333,4.11,0.39,0.81,2.03,130,270,64,0
10,21,210,2.1,0.35,0.76,3.17,73,159,23,0
9,79,711,8.78,0.34,0.9,2.2,244,639,111,0
10,66,660,6.6,0.32,0.78,2.25,214,515,95,0
9,34,306,3.78,0.41,0.9,1.91,126,276,66,0
9,82,738,9.11,0.43,0.94,2.38,316,691,133,0
10,79,790,7.9,0.35,0.78,2.25,274,619,122,0
12,98,1176,8.17,0.27,0.63,2.33,314,737,135,0
10,83,830,8.3,0.36,0.81,2.28,296,675,130,0
10,11,110,1.1,0.43,1,1.52,47,110,31,0
10,53,530,5.3,0.34,0.81,2,182,430,91,0
12,85,1020,7.08,0.31,0.83,1.94,311,845,160,0
9,82,738,9.11,0.41,0.92,2.39,301,682,126,0
10,80,800,8,0.31,0.84,2.02,246,670,122,0
12,102,1224,8.5,0.29,0.76,2.09,357,935,171,0
9,82,738,9.11,0.37,0.87,2.3,276,639,120,0
23,26,598,1.13,0.28,0.96,1.8,166,574,92,0
23,47,1081,2.04,0.32,0.75,2.2,341,808,155,0
9,99,891,11,0.38,0.93,1.92,339,829,177,0
9,83,747,9.22,0.29,0.91,2.42,218,679,90,0
10,34,340,3.4,0.39,0.89,2.1,132,303,63,0
9,82,738,9.11,0.37,0.92,2.39,273,682,114,0
12,13,156,1.08,0.39,0.98,2.35,61,153,26,0
12,8,96,0.67,0.3,1,2.9,29,96,10,0
12,42,504,3.5,0.36,0.79,2.71,179,397,66,0
10,86,860,8.6,0.33,0.84,1.85,280,726,151,0
9,76,684,8.44,0.38,0.95,2.2,260,650,118,0
9,6,54,0.67,0.67,0.76,18,36,41,2,0
10,65,650,6.5,0.48,0.97,2.76,309,631,112,0
9,36,324,4,0.59,0.95,3.45,190,307,55,0
9,7,63,0.78,0.3,0.6,1.9,19,38,10,0
9,22,198,2.44,0.39,0.84,1.93,77,167,40,0
10,99,990,9.9,0.47,0.92,2.93,468,908,160,0
9,85,765,9.44,0.4,0.85,2.32,302,647,130,0
9,32,288,3.56,0.38,0.79,2.16,110,228,51,0
11,100,1100,9.09,0.47,0.88,3.29,520,970,158,0
23,118,2714,5.13,0.29,0.78,2.06,795,2129,385,0
11,125,1375,11.36,0.43,0.8,3.03,594,1105,196,0
10,85,850,8.5,0.32,0.68,2.25,275,574,122,0
10,43,430,4.3,0.46,0.94,3.58,197,404,55,0
10,48,480,4.8,0.33,0.74,2.37,159,356,67,0
9,40,360,4.44,0.48,0.99,2.85,174,357,61,0
9,44,396,4.89,0.45,0.88,2.97,178,348,60,0
9,47,423,5.22,0.37,0.83,2.75,157,349,57,0
9,42,378,4.67,0.43,0.98,2.75,162,369,59,0
10,42,420,4.2,0.32,0.85,2.22,133,357,60,0
24,340,8160,14.17,0.21,0.47,2.67,1718,3822,643,0
10,130,1300,13,0.49,0.86,3.18,632,1113,199,0
6,13,78,2.17,0.13,0.58,1.67,10,45,6,0
7,18,126,2.57,0.12,0.45,2.14,15,57,7,0
7,42,294,6,0.29,0.86,2.61,86,252,33,0
7,31,217,4.43,0.27,0.71,2.15,58,155,27,0
