Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Shape,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_descendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],110,0.3805924733100383,0.4418649673461914,0.3153107554181892,0.5844206809997559,0.783889625524724,0.707162618637085,0.2543424649696129,0.5855226516723633,0.95,0.2617089748382568,8403,0.2539188861846924,0.0,0.384108304977417,0.0305465157346088,0.0302560329437255,10.493879824593336,0.0020587444305419,0.04464447233259006,2.711451530456543,0,0,[]
figure_descendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber0,200,2,['cluster'],160,0.3154041643134936,0.4835884571075439,0.2554169283934784,0.6058990955352783,0.7455051524828469,0.7095911502838135,0.2022711945796714,0.602020263671875,0.92,0.2702319622039795,13785,0.2644591331481933,0.0,0.2391655445098877,0.0305465157346088,0.0299992561340332,10.493879824593336,0.0020010471343994,0.05359565241395668,2.569014072418213,0,0,[]
figure_category_basedmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],10,0.9763456255055344,0.4492456912994385,0.9743309535222996,0.769442081451416,0.9608571152573292,0.7257504463195801,0.9790319294457692,0.5879805088043213,1.0,0.4199326038360595,108,0.2588925361633301,0.0,0.2597196102142334,0.0295263709777376,0.0237526893615722,12.0623055234738,0.0029737949371337,0.013143009300283429,2.6476147174835205,0,0,[]
figure_category_basedmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],60,0.6957322909695567,0.4617998600006103,0.61047160143272,0.6249575614929199,0.8786629191525923,0.7348716259002686,0.6403689209997641,0.606090784072876,0.995,0.2711787223815918,2897,0.3908975124359131,0.0,0.5669903755187988,0.0295263709777376,0.0343406200408935,12.0623055234738,0.0029990673065185,0.031126262562433147,2.971745252609253,0,0,[]
figure_category_basedmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],110,0.5376313936051736,0.4785141944885254,0.4328881177020129,0.646798849105835,0.828569451166437,0.6046581268310547,0.468983052288061,0.6337699890136719,0.975,0.2844276428222656,8023,0.2731039524078369,0.0,0.2629096508026123,0.0295263709777376,0.0246462821960449,12.0623055234738,0.0021071434020996,0.04294379848983451,3.8617262840271,1,0,[]
figure_category_basedmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],160,0.4258960701557165,0.4943244457244873,0.318899804299238,0.4910323619842529,0.8268027838062129,0.7757258415222168,0.3545756351143403,0.6857049465179443,0.92,0.2809276580810547,13215,0.2901890277862549,0.0,0.2821650505065918,0.0295263709777376,0.0250012874603271,12.0623055234738,0.0020022392272949,0.051521342317131354,3.7643675804138175,3,0,[]
figure_ascendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],10,0.976736861183544,0.6341886520385742,0.9743693221304937,0.6497459411621094,0.9607644075432684,0.58724045753479,0.9792814050701796,0.6559062004089355,1.0,0.3011364936828613,108,0.2721924781799316,0.0,0.2844176292419433,0.0295263709777376,0.0250318050384521,12.0623055234738,0.0029945373535156,0.013143009300283429,2.411095142364502,0,0,[]
figure_ascendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],60,0.83903208999566,0.5001096725463867,0.8302420851928011,0.6639118194580078,0.7229149553923595,0.5922298431396484,0.8573171181728876,0.6466484069824219,0.995,0.294651985168457,2897,0.2912495136260986,0.0,0.2800593376159668,0.0295263709777376,0.0246980190277099,12.0623055234738,0.0020198822021484,0.031126262562433154,2.345895290374756,0,0,[]
figure_ascendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],110,0.7509845391813283,0.5123529434204102,0.7342043594923133,0.5310063362121582,0.5774072201265847,0.7773952484130859,0.778183026789344,0.7096407413482666,0.975,0.3071296215057373,8023,0.3072462081909179,0.0,0.2977228164672851,0.0295263709777376,0.023730993270874,12.0623055234738,0.0020122528076171,0.042943798489834525,2.2705767154693604,1,0,[]
figure_ascendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],160,0.684659733681547,0.5151443481445312,0.6625462180504124,0.7214338779449463,0.4740251223313997,0.6241111755371094,0.7156551736634555,0.7129666805267334,0.92,0.3300127983093261,13215,0.4460310935974121,0.0,0.3608639240264892,0.0295263709777376,0.0534629821777343,12.0623055234738,0.0028877258300781,0.05152134231713136,2.6276931762695312,1,0,[]
figure_descendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],10,0.976118474642408,0.5060443878173828,0.9743105078467692,0.4962985515594482,0.9611701160914424,0.6093943119049072,0.9788701372350536,0.6998558044433594,1.0,0.3021304607391357,108,0.3192718029022217,0.0,0.3247783184051513,0.0295263709777376,0.023832082748413,12.0623055234738,0.001988410949707,0.013143009300283429,2.264093399047852,0,0,[]
figure_descendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],60,0.6926103653219084,0.7235212326049805,0.6102421865519282,0.5074405670166016,0.8803769734067161,0.8427302837371826,0.6389002528831056,0.5071253776550293,0.995,0.3243167400360107,2897,0.3241629600524902,0.0,0.3170781135559082,0.0295263709777376,0.0258951187133789,12.0623055234738,0.0020155906677246,0.031126262562433147,2.1697096824646,0,0,[]
figure_descendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],110,0.5323906546767373,0.753009557723999,0.432471442437345,0.6535882949829102,0.8317510433363159,0.6433391571044922,0.4665519250171256,0.7543692588806152,0.975,0.3485016822814941,8023,0.3276596069335937,0.0,0.0910959243774414,0.0295263709777376,0.0248641967773437,12.0623055234738,0.0023634433746337,0.042943798489834525,2.529700517654419,0,0,[]
figure_descendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber1,200,2,['cluster' 'lip_cluster'],160,0.4194964988093295,0.3225119113922119,0.3183748457066992,0.7854959964752197,0.8313497107991715,0.6727697849273682,0.3514841560316738,0.5409402847290039,0.92,0.3365299701690674,13215,0.5671188831329346,0.0,0.0904352664947509,0.0295263709777376,0.0238740444183349,12.0623055234738,0.0020177364349365,0.05152134231713135,3.029944896697998,0,0,[]
figure_category_basedmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],10,0.839769964610191,0.3704440593719482,0.8075023822859503,0.7474100589752197,0.9142646655202084,0.6318917274475098,0.799399025794991,0.5141432285308838,1.0,0.3229568004608154,259,0.5612998008728027,0.0,0.090749979019165,0.0303786538742316,0.0267343521118164,5.810679473057324,0.0020020008087158,0.022729842248533447,2.788970470428467,0,0,[]
figure_category_basedmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],60,0.4220120249630327,0.7680466175079346,0.359574790056995,0.5463895797729492,0.828614342611954,0.6531577110290527,0.3500587192675629,0.7613434791564941,0.955,0.3504552841186523,4656,0.0920636653900146,0.0,0.3384773731231689,0.0303786538742316,0.0290355682373046,5.810679473057324,0.0020177364349365,0.05211602826396167,3.676518440246582,3,0,[]
figure_category_basedmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],110,0.2608819382786573,0.3138380050659179,0.2065818301281679,0.794642448425293,0.9546453275252442,0.664320707321167,0.202514317248064,0.5467526912689209,0.9,0.350679874420166,9984,0.3414008617401123,0.0,0.3512516021728515,0.0303786538742316,0.0267853736877441,5.810679473057324,0.0019686222076416,0.06636580489590305,3.669934749603272,3,0,[]
figure_category_basedmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],160,0.2067203077515969,0.5924990177154541,0.1563963554786119,0.5729773044586182,1.233348436130169,0.6970980167388916,0.152676478272304,0.574939489364624,0.84,0.3697912693023681,14334,0.368692398071289,0.0,0.3711583614349365,0.0303786538742316,0.0275070667266845,5.810679473057324,0.0020170211791992,0.07611676026678224,3.579524517059326,9,1,"[{'category': 'group_1', 'number': 1}]"
figure_ascendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],10,0.9379508287624158,0.8122172355651855,0.90335770118296,0.5585975646972656,0.8506872268684794,0.6845493316650391,0.9282351315928395,0.5444707870483398,1.0,0.3662140369415283,259,0.3657522201538086,0.0,0.3658263683319092,0.0303786538742316,0.0288150310516357,5.810679473057324,0.001868724822998,0.022729842248533447,1.750075101852417,0,0,[]
figure_ascendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],60,0.7036569355223765,0.8277955055236816,0.6391349672874578,0.5719120502471924,0.4845328138765893,0.6786277294158936,0.7124948170971055,0.789907693862915,0.955,0.3880553245544433,4656,0.3620345592498779,0.0,0.3736922740936279,0.0303786538742316,0.0277514457702636,5.810679473057324,0.0020017623901367,0.05211602826396165,1.9182233810424805,1,0,[]
figure_ascendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],110,0.5693725876505094,0.8552801609039307,0.5092838387922832,0.3112473487854004,0.3157287097251059,0.967658281326294,0.6047859358248954,0.5703191757202148,0.9,0.3906519412994385,9984,0.4493062496185303,0.0,0.1665904521942138,0.0303786538742316,0.0601618289947509,5.810679473057324,0.0060029029846191,0.06636580489590307,2.605513334274292,1,0,[]
figure_ascendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],160,0.5021426736999417,0.8670969009399414,0.4518080932088487,0.3203294277191162,0.2465051003517577,0.97719407081604,0.550389715140638,0.589179277420044,0.84,0.3927910327911377,14334,0.10007905960083,0.0,0.3766899108886719,0.0303786538742316,0.0273044109344482,5.810679473057324,0.0020155906677246,0.07611676026678225,3.147735118865967,4,0,[]
figure_descendingmarkersize10_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],10,0.8390032208825409,0.8634984493255615,0.8074533501502529,0.5900883674621582,0.914316091124458,0.4045660495758056,0.7990646992569508,0.8380546569824219,1.0,0.3983399868011474,259,0.0911557674407959,0.0,0.3811774253845215,0.0303786538742316,0.0284883975982666,5.810679473057324,0.0019493103027343,0.022729842248533447,2.13911509513855,0,0,[]
figure_descendingmarkersize60_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],60,0.4182893410374634,0.7988100051879883,0.3590817026332309,0.5804009437561035,0.8301139297955341,0.6945376396179199,0.3479045750530591,0.8661587238311768,0.955,0.3995482921600342,4656,0.098376989364624,0.0,0.3897089958190918,0.0303786538742316,0.0269920825958251,5.810679473057324,0.0030004978179931,0.05211602826396167,2.1997108459472656,0,0,[]
figure_descendingmarkersize110_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],110,0.2561028669911426,0.6041176319122314,0.2059976044509608,0.649730920791626,0.9629296755464944,0.7592251300811768,0.1996985028556575,0.6004672050476074,0.9,0.4096841812133789,9984,0.4857690334320068,0.0,0.1623823642730713,0.0303786538742316,0.0520849227905273,5.810679473057324,0.0037150382995605,0.06636580489590306,2.723164796829224,0,0,[]
figure_descendingmarkersize160_clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,clusternumber2_datanumber100_testnumbercategorylarge_repeatnumber2,200,2,['cluster' 'three_order'],160,0.201203032372755,0.623546838760376,0.1557481626211929,0.6233527660369873,1.2498272180807797,0.7341430187225342,0.1494833314804633,0.91666579246521,0.84,0.1050875186920166,14334,0.4008078575134277,0.0,0.408653974533081,0.0303786538742316,0.0282886028289794,5.810679473057324,0.0029864311218261,0.07611676026678224,3.1541099548339844,1,1,"[{'category': 'group_1', 'number': 1}]"
figure_category_basedmarkersize10_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],10,0.6932273733634943,0.6009006500244141,0.7362845393682509,0.6082017421722412,0.7701720307907006,0.7211320400238037,0.746513053940075,0.5881633758544922,0.975,0.4165656566619873,279,0.4269092082977295,0.0,0.088233470916748,0.0298260395047676,0.0350048542022705,5.698208975987789,0.0030086040496826,0.023410526773635306,2.853970527648926,2,1,"[{'category': 'group_1', 'number': 1}]"
figure_category_basedmarkersize60_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],60,0.3982545124023344,0.8155345916748047,0.427355528730768,0.6388561725616455,0.4930725795878925,0.7421631813049316,0.4251303706790503,0.6239674091339111,0.97,0.4098544120788574,4568,0.4131128787994385,0.0,0.4154233932495117,0.0298260395047676,0.0350575447082519,5.698208975987789,0.0020020008087158,0.04572146390161335,2.992347717285156,2,1,"[{'category': 'group_1', 'number': 1}]"
figure_category_basedmarkersize110_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],110,0.2878888997234227,0.3154647350311279,0.3037665395656961,0.9299197196960448,0.3657724959512541,1.073509931564331,0.3094933830491398,0.3073518276214599,0.9,0.4336724281311035,10546,0.4350044727325439,0.0,0.4155447483062744,0.0298260395047676,0.0344374179840087,5.698208975987789,0.0020027160644531,0.05888300681382339,3.187232732772827,5,1,"[{'category': 'group_1', 'number': 1}]"
figure_category_basedmarkersize160_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],160,0.2407329119298852,0.6635081768035889,0.2532824251591975,0.3293306827545166,0.3219954440222555,0.7640657424926758,0.2554077943495856,0.6275839805603027,0.865,0.4934439659118652,15846,0.6741068363189697,0.0,0.5238895416259766,0.0298260395047676,0.034430980682373,5.698208975987789,0.0019965171813964,0.06820924615203129,3.377645492553711,8,1,"[{'category': 'group_1', 'number': 1}]"
figure_ascendingmarkersize10_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],10,0.7230052863291635,0.2975008487701416,0.7429394610888791,0.6401097774505615,0.7070988790692138,0.7414505481719971,0.7052429439847052,0.6178369522094727,0.975,0.4447672367095947,279,0.5154294967651367,0.0,0.6807470321655273,0.0298260395047676,0.0712001323699951,5.698208975987789,0.0030009746551513,0.023410526773635306,1.784414529800415,2,1,"[{'category': 'group_0', 'number': 1}]"
figure_ascendingmarkersize60_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],60,0.4428229017621339,0.6375198364257812,0.4351748921984032,0.6424503326416016,0.3770958328200295,0.7575139999389648,0.4106953727520732,0.9766402244567872,0.97,0.0978076457977294,4568,0.4423503875732422,0.0,0.4533827304840088,0.0298260395047676,0.0343673229217529,5.698208975987789,0.003040075302124,0.04572146390161336,2.9101593494415283,2,1,"[{'category': 'group_0', 'number': 1}]"
figure_ascendingmarkersize110_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],110,0.3301736149395279,0.3127684593200683,0.3111945954422472,0.6596198081970215,0.249416954886538,0.7801172733306885,0.3018905649063472,0.6598153114318848,0.9,0.479835033416748,10546,0.4643723964691162,0.0,0.0875458717346191,0.0298260395047676,0.0352816581726074,5.698208975987789,0.0020194053649902,0.058883006813823406,2.4559028148651123,5,1,"[{'category': 'group_0', 'number': 1}]"
figure_ascendingmarkersize160_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],160,0.2803446899093088,0.6816260814666748,0.260126374285903,0.6846277713775635,0.1987638099154289,1.0277776718139648,0.2546781251619485,0.6887526512145996,0.865,0.4879231452941894,15846,0.0999290943145752,0.0,0.4651594161987304,0.0298260395047676,0.0360875129699707,5.698208975987789,0.0029752254486083,0.0682092461520313,2.675457239151001,6,1,"[{'category': 'group_0', 'number': 1}]"
figure_descendingmarkersize10_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],10,0.6645235558818053,0.6564977169036865,0.7274481417018936,0.6781203746795654,0.8420077292655979,0.7809004783630371,0.7551010258456813,0.675971269607544,0.975,0.138751745223999,279,0.5536041259765625,0.0,0.4864218235015869,0.0298260395047676,0.0352468490600585,5.698208975987789,0.0024895668029785,0.023410526773635306,2.1356918811798096,2,1,"[{'category': 'group_1', 'number': 1}]"
figure_descendingmarkersize60_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],60,0.3493201805613319,0.3159475326538086,0.4006480331318939,0.671790361404419,0.7584566454783294,0.8014647960662842,0.40658389911416,0.671865701675415,0.97,0.0939736366271972,4568,0.4727566242218017,0.0,0.4843714237213135,0.0298260395047676,0.0387017726898193,5.698208975987789,0.0020012855529785,0.04572146390161335,2.919372797012329,2,1,"[{'category': 'group_1', 'number': 1}]"
figure_descendingmarkersize110_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],110,0.2418063320409142,0.3108630180358886,0.280044733211083,0.7052316665649414,0.6622861958829063,0.8005411624908447,0.2777854724499835,0.6971101760864258,0.9,0.1059110164642334,10546,0.4772994518280029,0.0,0.485300064086914,0.0298260395047676,0.0361030101776123,5.698208975987789,0.0020172595977783,0.05888300681382343,2.945565938949585,3,1,"[{'category': 'group_1', 'number': 1}]"
figure_descendingmarkersize160_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber0,200,2,['three_order'],160,0.1971040013216287,0.3358445167541504,0.2308966145544662,0.710371732711792,0.6685070817570881,0.8133242130279541,0.2240060763804371,0.6942882537841797,0.865,0.5015251636505127,15846,0.0976185798645019,0.0,0.4822852611541748,0.0298260395047676,0.0345335006713867,5.698208975987789,0.0019757747650146,0.0682092461520313,2.6679654121398926,4,1,"[{'category': 'group_1', 'number': 1}]"
figure_category_basedmarkersize10_clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber1,clusternumber2_datanumber100_testnumbercategorymedium_repeatnumber1,200,2,['lip_cluster'],10,0.8971538853952656,0.4932606220245361,0.8981591759511536,0.6959900856018066,0.875977336809965,0.811610221862793,0.8968298345367266,0.6789937019348145,0.985,0.089357852935791,326,0.4822514057159424,0.0,0.5038366317749023,0.0257583279027387,0.0398054122924804,4.007937862245004,0.0019447803497314,0.024137118769906294,2.9313976764678955,1,0,[]
